OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,OATS,CANOLA,FLAXSEED,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,POTATOES,OTHER_CROPS,LENTILS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,BROCCOLI,GREENS,STRAWBERRIES,SQUASH,VETCH,DBL_CROP_WINWHT_CORN,BLUEBERRIES,RADISHES,TURNIPS
17,DW-7,77400,900,43200,900,74700,3600,0,0,30600,0,1800,0,0,3600,0,0,0,183600,47700,226800,7200,0,0,9000,25200,82800,28800,12600,5400,0,15300,0,55800,14400,28800,335700,168300,4500,0,7200,0,0,0,0,0,0,33300,0,0
18,DW-7a,77400,900,46800,900,72900,3600,0,0,32400,0,1800,0,0,3600,0,0,0,181800,52200,245700,7200,0,0,8100,25200,79200,31500,13500,5400,0,14400,0,52200,13500,26100,338400,150300,4500,0,7200,0,0,0,0,0,0,32400,0,0
19,DW-8,0,0,0,0,124200,0,0,0,0,0,0,0,0,4500,0,206100,0,0,4500,1020600,0,0,0,0,0,0,3600,32400,0,0,0,0,0,0,0,133200,0,0,0,0,0,0,0,0,3600,0,0,0,0
20,DW-9,0,0,0,0,369000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76500,0,0,0,1800,10800,0,9000,102600,0,0,0,0,3600,20700,1800,513900,428400,1800,0,0,0,0,0,0,0,0,0,0,0
21,GW-1,30600,24300,0,0,247500,0,0,0,0,0,0,0,0,0,0,0,0,31500,13500,626400,0,0,0,0,0,0,59400,136800,7200,0,0,0,0,0,900,331200,9900,0,0,0,0,0,0,0,0,2700,0,0,0
22,GW-10,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386900,0,0,0,0,0,0,4500,27900,0,0,0,0,0,0,0,105300,0,0,0,0,0,0,0,0,0,0,0,0,900
23,GW-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486900,0,0,0,0,0,0,0,98100,14400,0,0,0,0,0,0,936900,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GW-12,118800,15300,0,0,0,0,0,0,7200,72900,0,0,0,900,0,0,0,19800,0,254700,900,0,0,0,3600,0,64800,44100,20700,1800,1800,0,0,0,0,856800,0,0,0,0,0,0,0,54000,0,0,0,0,0
25,GW-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,620100,1800,0,0,0,0,9000,28800,113400,3600,0,0,3600,9900,5400,30600,632700,68400,5400,0,0,0,0,0,0,0,0,0,0,0
26,GW-15,4500,0,0,0,210600,0,185400,0,0,9000,0,0,0,1800,0,1800,0,0,1800,533700,1800,0,0,0,5400,0,20700,67500,17100,0,0,0,14400,26100,11700,273600,150300,4500,0,0,0,0,0,0,0,0,0,0,3600
27,GW-16,2700,10800,9000,0,1800,0,0,0,0,0,48600,15300,0,1800,0,30600,0,150300,6300,390600,7200,0,0,1800,14400,52200,25200,57600,20700,5400,2700,0,27900,8100,45000,194400,208800,10800,0,0,0,0,0,151200,0,0,4500,26100,0
28,GW-17,73800,0,0,1800,74700,0,0,0,900,0,0,0,0,0,0,0,0,0,9000,209700,7200,0,0,12600,323100,151200,13500,23400,0,0,9900,2700,30600,20700,60300,378000,122400,4500,0,0,0,0,3600,0,0,0,0,0,0
29,GW-18,48600,0,0,1800,0,0,0,0,900,0,0,0,0,3600,0,1800,0,0,7200,828900,9000,0,0,5400,283500,0,18900,47700,41400,15300,0,0,3600,5400,6300,130500,63000,0,0,0,0,0,3600,0,0,0,0,0,0
30,GW-19,0,0,0,0,55800,1800,0,0,2700,0,43200,0,0,0,0,900,0,32400,9900,1170900,2700,0,0,0,1800,0,5400,77400,3600,900,0,0,0,4500,6300,63000,36900,0,6300,0,0,0,0,0,0,0,0,0,0
31,GW-20,0,2700,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,4500,927900,0,0,0,3600,12600,0,3600,46800,1800,0,0,0,0,0,0,43200,0,900,0,0,0,0,0,486000,0,0,0,0,0
32,GW-21,0,0,0,3600,78300,2700,0,0,0,0,0,3600,0,5400,0,0,0,900,1800,1269900,34200,0,0,0,5400,0,1800,97200,8100,0,0,0,0,0,0,19800,0,0,900,0,0,0,0,0,0,0,0,0,0
33,GW-22,0,1800,0,0,0,2700,0,0,0,0,0,0,0,19800,0,0,0,13500,13500,596700,256500,0,0,1800,163800,0,6300,74700,8100,5400,3600,0,19800,10800,5400,267300,59400,0,0,0,0,2700,0,0,0,0,2700,0,0
34,GW-23,41400,207900,0,0,20700,7200,0,0,0,26100,0,117000,0,5400,2700,0,0,15300,72000,359100,7200,3600,0,1800,13500,0,30600,93600,7200,7200,3600,0,0,0,1800,378900,3600,5400,0,0,0,0,0,55800,0,0,51300,0,0
35,GW-24,0,0,0,0,58500,1800,0,0,0,900,0,14400,0,0,0,1800,0,0,325800,559800,3600,0,0,0,79200,0,28800,47700,13500,3600,1800,0,0,1800,27000,342000,25200,1800,0,0,0,0,0,900,0,0,0,0,0
36,GW-25,0,0,0,0,247500,0,0,0,0,900,0,53100,0,3600,0,0,0,1800,0,682200,0,0,2700,1800,0,0,35100,56700,7200,6300,0,0,45000,39600,22500,108900,221400,3600,0,0,0,0,0,0,0,0,0,0,0
37,GW-27,1800,0,0,0,360000,4500,0,0,0,0,0,0,0,900,0,0,0,72000,900,116100,0,0,0,0,2700,0,113400,422100,164700,19800,0,0,0,0,8100,229500,1800,0,0,900,0,0,0,0,0,0,0,0,0
38,GW-3,289800,16200,0,0,0,0,0,0,0,0,0,0,1800,29700,0,0,0,0,3600,324000,99900,0,0,0,5400,0,52200,164700,34200,7200,0,6300,61200,27900,15300,226800,161100,5400,0,0,0,0,0,1800,0,0,0,0,0
39,GW-4D,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,1258200,0,0,0,0,0,0,16200,36000,3600,1800,0,0,0,0,0,207900,0,0,0,0,0,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,0,0,1250100,0,0,0,0,1800,0,16200,37800,3600,1800,0,0,0,0,0,215100,0,0,0,0,0,0,0,0,0,0,0,0,0
41,GW-5,3600,10800,900,2700,81900,4500,0,0,1800,9900,5400,0,0,17100,0,18900,0,16200,36000,502200,23400,0,0,3600,6300,0,45000,58500,900,0,1800,4500,39600,15300,21600,293400,145800,9900,0,0,0,0,0,0,0,0,1800,140400,0
42,GW-6,0,0,0,0,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,1337400,0,0,0,0,0,0,43200,63000,0,0,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,0,0,0,0,0
43,GW-7,47700,17100,0,0,59400,18900,0,0,0,32400,0,0,0,900,0,0,0,0,246600,471600,81000,0,0,0,35100,0,35100,135000,27900,1800,0,0,0,0,1800,316800,0,0,0,0,0,0,0,0,0,0,2700,0,0
44,GW-8,0,0,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17100,45900,503100,0,0,0,0,0,125100,158400,265500,70200,5400,2700,0,5400,0,12600,304200,0,0,0,0,0,0,0,0,0,0,0,0,0
45,GW-8R,0,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,53100,476100,0,0,0,0,0,125100,154800,259200,58500,5400,2700,0,5400,0,12600,317700,0,0,0,0,0,0,0,0,0,0,0,0,0
