OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,POTATOES,OTHER_CROPS,ONIONS,PEAS,CANEBERRIES,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,PEACHES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,BROCCOLI,PLUMS,SQUASH,VETCH,BLUEBERRIES,RADISHES,TURNIPS,CRANBERRIES
11,DW-16,11700,2700,900,0,24300,0,2700,3600,0,0,416700,0,36000,0,7200,2700,5400,0,3600,338400,3600,900,0,0,6300,34200,7200,22500,96300,47700,4500,3600,4500,9900,1800,10800,249300,100800,12600,0,2700,0,0,42300,0,9000,4500,0,18900
12,DW-17,0,900,117000,0,3600,13500,0,0,0,0,13500,0,0,0,0,0,0,19800,0,1241100,1800,0,0,0,0,1800,0,3600,18900,900,0,0,0,0,0,0,92700,0,0,0,0,0,0,900,0,0,0,0,0
13,DW-2,2700,3600,0,0,0,1800,0,0,1800,0,0,0,0,0,0,0,0,21600,0,497700,4500,7200,1800,2700,4500,58500,2700,1800,36900,16200,0,0,0,20700,2700,0,716400,88200,22500,0,0,0,0,7200,1800,0,0,0,0
14,DW-3,0,1800,0,0,8100,252900,5400,0,2700,39600,0,0,0,0,0,0,0,0,0,643500,0,0,0,0,1800,900,29700,27000,110700,20700,0,0,0,0,0,0,353700,13500,1800,0,0,0,900,0,0,0,13500,0,0
15,DW-5,0,0,0,0,900,224100,127800,0,0,0,0,2700,0,0,0,0,0,0,0,50400,900,0,0,0,5400,12600,0,227700,596700,78300,1800,0,0,0,0,0,193500,0,0,1800,0,0,0,0,0,0,0,0,0
16,DW-6,900,0,6300,0,900,0,0,0,12600,0,0,0,0,0,0,0,0,88200,0,1044900,0,0,0,0,900,900,0,4500,41400,0,0,3600,0,0,0,0,320400,0,0,0,0,0,0,2700,1800,0,0,0,0
17,DW-7,0,0,0,0,0,6300,0,0,2700,0,0,0,900,0,0,0,0,0,0,747900,0,4500,0,0,0,9000,132300,24300,12600,0,0,3600,0,29700,900,0,341100,204300,6300,0,0,0,2700,0,0,0,0,0,0
18,DW-7a,0,0,0,0,0,5400,0,0,2700,0,0,0,900,0,0,0,0,0,0,774900,0,5400,0,0,0,6300,127800,26100,13500,0,0,3600,0,27900,900,0,339300,185400,6300,0,0,0,2700,0,0,0,0,0,0
19,DW-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196100,0,0,0,0,0,0,0,8100,16200,0,0,0,0,0,0,0,312300,0,0,0,0,0,0,0,0,0,0,0,0
20,DW-9,4500,0,0,0,2700,900,0,0,0,0,0,0,27000,0,0,0,0,0,0,630900,0,0,0,0,0,900,0,8100,74700,0,0,0,0,0,0,1800,337500,449100,1800,0,0,0,0,0,0,0,0,0,0
21,GW-1,36900,19800,0,0,4500,116100,0,1800,0,0,0,0,0,0,0,0,1800,0,0,745200,0,0,0,0,0,0,0,57600,158400,7200,0,0,0,0,0,900,351900,18000,0,0,0,0,0,1800,0,0,0,0,0
22,GW-10,0,0,0,0,0,378900,5400,0,0,0,0,0,0,0,0,0,0,0,900,733500,0,0,0,0,0,0,0,10800,39600,0,0,0,0,0,0,0,360900,0,0,0,0,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220400,0,0,0,0,0,0,0,0,49500,3600,0,0,0,0,0,0,262800,0,0,0,0,0,0,0,0,0,0,0,0
24,GW-12,73800,3600,0,0,0,0,0,4500,27000,0,0,0,1800,0,0,0,0,0,0,677700,0,0,0,0,3600,0,0,51300,14400,19800,2700,0,0,0,0,0,644400,0,900,0,0,0,0,9000,0,0,0,0,3600
25,GW-13,0,0,0,0,0,181800,0,0,4500,0,0,0,5400,0,0,0,0,0,0,779400,21600,0,0,0,20700,900,4500,28800,62100,5400,0,900,0,3600,900,0,332100,83700,0,0,0,0,0,0,0,0,0,0,0
26,GW-15,2700,0,0,0,0,0,0,0,22500,0,1800,0,0,0,0,5400,0,0,0,992700,2700,1800,1800,0,0,6300,0,17100,51300,8100,0,0,900,0,0,7200,255600,163800,0,0,0,0,0,0,3600,0,0,0,0
27,GW-16,2700,5400,208800,0,1800,27900,0,0,0,2700,5400,2700,1800,0,0,0,0,11700,9000,295200,0,0,1800,0,0,10800,32400,26100,50400,22500,0,900,0,39600,17100,10800,260100,193500,22500,0,3600,0,0,261000,0,0,2700,0,900
28,GW-17,12600,2700,0,0,2700,8100,0,0,0,0,0,0,0,0,2700,0,0,0,3600,711900,0,0,0,0,1800,2700,159300,11700,19800,0,0,2700,0,32400,2700,14400,333000,136800,1800,0,0,0,0,70200,0,0,0,0,0
29,GW-18,13500,1800,0,0,0,5400,1800,0,0,0,0,0,0,0,2700,0,0,0,0,1208700,0,0,0,0,0,0,0,9900,32400,12600,10800,0,0,900,900,3600,105300,70200,0,0,0,0,0,45900,0,0,0,0,0
30,GW-19,0,0,0,0,900,79200,0,0,0,1800,0,0,900,0,0,0,0,0,412200,754200,0,0,0,0,0,0,0,10800,66600,6300,900,0,0,0,0,0,135900,54900,1800,0,0,0,0,0,0,0,0,0,0
31,GW-20,0,1800,136800,0,5400,13500,1800,0,0,0,13500,0,0,0,0,0,0,21600,0,1216800,1800,0,0,0,0,1800,0,3600,18900,900,0,0,0,0,0,0,97200,0,0,0,0,0,0,0,0,0,0,0,0
32,GW-21,232200,27900,1800,0,228600,445500,31500,0,0,82800,77400,0,9900,0,0,0,10800,0,135900,10800,3600,0,0,0,0,7200,0,1800,64800,9000,900,0,0,0,0,2700,138600,0,0,0,0,0,0,900,0,0,3600,0,5400
33,GW-22,0,0,0,0,0,101700,1800,0,3600,0,0,0,3600,0,0,0,0,0,198900,839700,1800,0,0,3600,1800,0,0,0,33300,3600,5400,0,1800,9900,7200,9000,231300,55800,0,0,0,0,0,0,0,900,1800,0,19800
34,GW-23,11700,274500,0,0,0,1800,3600,0,1800,0,8100,0,35100,0,0,7200,0,0,4500,380700,0,1800,0,2700,2700,900,0,16200,80100,7200,9000,0,0,0,0,0,448200,0,0,0,0,2700,0,188100,0,0,0,0,51300
35,GW-24,22500,508500,900,0,0,33300,0,3600,900,0,2700,0,7200,0,0,1800,900,0,0,453600,5400,0,0,0,1800,17100,0,28800,41400,9900,6300,0,0,0,0,3600,325800,32400,0,0,0,4500,0,14400,0,0,0,0,12600
36,GW-25,0,0,0,0,0,333000,0,0,0,0,0,0,2700,0,0,0,0,0,2700,661500,0,0,0,0,0,0,900,46800,46800,9900,5400,0,0,29700,27900,18000,129600,225000,0,0,0,0,0,0,0,0,0,0,0
37,GW-27,0,0,0,0,3600,0,1800,0,6300,0,0,0,900,0,0,0,0,7200,1800,228600,21600,0,0,0,0,3600,0,102600,429300,164700,19800,0,0,0,0,1800,525600,0,0,0,0,0,0,0,0,0,0,0,0
38,GW-3,13500,0,17100,0,411300,3600,45000,0,0,33300,0,0,0,0,0,0,0,108000,22500,98100,0,0,0,0,0,1800,0,54000,144900,41400,5400,0,1800,27900,4500,0,265500,234900,0,0,0,0,0,0,0,0,0,0,0
39,GW-4D,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,1365300,900,0,0,0,0,0,0,8100,24300,1800,1800,0,0,0,0,0,117000,0,0,0,0,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,0,0,0,0,0,1364400,900,0,0,0,0,0,0,8100,24300,1800,1800,0,0,0,0,0,119700,0,0,0,0,0,0,0,0,0,0,0,0
41,GW-5,36000,64800,1800,1800,9000,900,15300,3600,6300,9900,32400,2700,4500,4500,6300,900,0,31500,0,420300,0,2700,5400,0,0,13500,0,56700,52200,0,0,0,0,29700,12600,11700,392400,170100,0,0,900,11700,0,2700,0,0,105300,1800,1800
42,GW-6,0,0,0,0,0,344700,0,0,0,0,0,0,0,0,0,0,0,0,0,981900,0,0,0,0,0,0,0,13500,36000,0,0,0,0,0,0,0,154800,0,0,0,0,0,0,0,0,0,0,0,0
43,GW-7,54000,5400,0,1800,5400,102600,0,0,27900,0,0,0,0,0,0,0,0,13500,0,699300,4500,0,0,0,0,0,0,37800,89100,16200,900,0,0,0,0,0,469800,0,0,0,0,0,0,3600,0,0,0,0,0
44,GW-8,0,0,0,0,0,5400,0,0,3600,0,0,0,0,0,0,0,0,0,0,726300,900,0,0,0,0,0,105300,92700,225900,56700,2700,4500,0,0,0,0,297000,6300,1800,0,0,0,0,0,0,0,0,0,0
45,GW-8R,0,0,0,0,0,5400,0,0,3600,0,0,0,0,0,0,0,0,0,0,711900,900,0,0,0,0,0,105300,92700,225900,47700,2700,4500,0,0,0,0,320400,6300,1800,0,0,0,0,0,0,0,0,0,0
