OBJECTID,LOCATION,CORN,SORGHUM,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,POTATOES,OTHER_CROPS,PEAS,CANEBERRIES,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,PEACHES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,RADISHES
27,GW-16,5400,0,81900,0,0,26100,0,0,2700,900,900,6300,112500,0,4500,0,52200,5400,368100,113400,0,1800,0,15300,51300,24300,60300,12600,5400,1800,10800,9900,6300,6300,304200,227700,8100,0,0,5400,0,0,0,0
28,GW-17,65700,0,0,0,0,15300,0,0,3600,0,0,0,9000,0,0,0,2700,6300,402300,14400,0,0,0,127800,136800,14400,27900,0,0,3600,1800,16200,9000,23400,493200,147600,12600,0,0,0,0,0,0,0
29,GW-18,40500,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,990000,6300,0,0,0,108900,0,19800,65700,25200,10800,0,0,0,0,0,173700,73800,0,0,0,0,0,0,0,0
30,GW-19,0,0,0,0,0,135000,0,0,0,0,0,0,0,0,0,0,0,1800,1151100,0,0,0,0,0,0,46800,45000,6300,900,0,7200,0,0,0,95400,36900,0,0,0,0,0,0,0,0
31,GW-20,0,0,20700,9000,0,634500,0,0,0,0,6300,0,18000,0,900,0,9000,0,661500,0,0,0,0,4500,0,9000,35100,900,0,0,0,0,0,1800,79200,0,0,0,0,40500,0,4500,0,0
32,GW-21,9900,0,965700,0,1800,128700,3600,0,0,0,0,0,18000,0,5400,0,0,0,195300,0,0,0,0,4500,0,1800,94500,8100,0,0,0,0,0,0,82800,0,0,0,0,13500,0,0,0,0
33,GW-22,0,0,0,0,0,221400,1800,0,2700,155700,0,0,12600,0,27000,8100,0,0,498600,2700,0,0,1800,157500,0,6300,71100,10800,5400,1800,0,0,3600,0,252900,86400,3600,0,4500,0,0,0,0,0
34,GW-23,10800,0,75600,0,0,1800,0,0,35100,0,17100,0,17100,0,81000,0,1800,3600,247500,171000,0,0,0,84600,0,27900,96300,7200,7200,900,0,0,0,0,587700,0,900,0,0,62100,0,0,2700,0
35,GW-24,0,0,0,0,0,541800,0,0,6300,0,0,0,27000,0,0,0,0,20700,187200,2700,0,0,0,74700,0,28800,54000,9900,3600,0,2700,4500,0,2700,533700,39600,0,0,0,0,0,0,0,0
36,GW-25,0,0,0,0,0,0,0,0,0,138600,0,0,0,0,4500,0,6300,19800,758700,0,0,0,0,0,0,37800,59400,5400,6300,0,0,8100,12600,0,185400,291600,1800,0,0,0,3600,0,0,0
37,GW-27,0,0,2700,0,0,76500,0,0,900,0,0,0,12600,0,0,0,0,0,423900,0,0,0,4500,2700,0,85500,454500,161100,18000,0,0,0,0,0,274500,1800,0,0,0,0,0,0,0,0
38,GW-3,443700,0,45000,0,0,0,0,0,0,0,0,0,4500,0,2700,0,0,1800,97200,149400,0,5400,0,12600,1800,61200,154800,32400,7200,10800,24300,38700,33300,0,230400,174600,900,0,0,0,0,0,0,1800
39,GW-4D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251900,7200,0,0,0,1800,0,14400,31500,1800,1800,0,0,0,0,0,215100,900,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244700,7200,0,0,0,1800,0,14400,33300,1800,1800,0,0,0,0,0,223200,900,0,0,0,0,0,0,0,0
41,GW-5,0,0,36900,11700,23400,57600,0,0,7200,12600,55800,0,177300,1800,0,0,60300,12600,196200,3600,1800,0,0,27900,0,45900,58500,900,0,0,900,13500,18900,4500,467100,207900,5400,0,0,0,13500,0,0,0
42,GW-6,0,0,0,0,0,6300,0,0,2700,0,0,0,0,0,0,0,0,0,1193400,51300,0,0,0,5400,0,36000,52200,0,0,0,0,0,0,0,183600,0,0,0,0,0,0,0,0,0
43,GW-7,0,0,0,0,0,69300,0,0,12600,0,0,0,9900,0,0,0,0,0,886500,52200,0,0,0,16200,9000,45000,132300,18000,900,0,0,0,0,0,279900,0,0,0,0,0,0,0,0,0
44,GW-8,0,0,0,80100,0,18000,0,0,2700,0,0,0,0,0,0,0,3600,900,457200,7200,0,0,0,900,125100,163800,270900,64800,2700,0,0,0,0,0,309600,6300,15300,0,0,0,0,0,0,0
45,GW-8R,0,0,0,115200,0,18000,0,0,2700,0,0,0,0,0,0,0,7200,900,423000,7200,0,0,0,900,125100,159300,262800,55800,2700,0,0,0,0,0,326700,6300,15300,0,0,0,0,0,0,0
