OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,ONIONS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,PEACHES,APPLES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,PEARS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,BROCCOLI,GREENS,PLUMS,STRAWBERRIES,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,CAULIFLOWER,RADISHES,TURNIPS
12,DW-17,2700,0,0,0,197100,205200,20700,0,0,11700,4500,900,0,7200,0,0,4500,429300,0,0,0,0,0,0,103500,0,0,7200,63900,16200,3600,0,0,0,0,0,58500,0,1800,0,0,0,0,0,0,4500,0,387000,2700,0,2700,0
13,DW-2,2700,0,2700,0,900,6300,6300,0,12600,1800,12600,3600,0,0,0,2700,10800,67500,10800,0,900,0,0,1800,132300,0,96300,24300,44100,28800,1800,12600,0,14400,1800,9000,812700,43200,42300,0,0,0,113400,0,0,0,0,0,0,1800,0,0
14,DW-3,0,0,0,1800,0,102600,2700,1800,7200,0,1800,112500,0,0,0,20700,19800,258300,10800,0,0,0,0,900,287100,0,32400,18900,99900,47700,8100,1800,0,0,1800,900,483300,0,3600,0,0,0,900,0,0,0,0,0,0,0,0,0
15,DW-5,0,0,0,0,0,5400,0,0,1800,0,0,29700,0,0,0,1800,1800,204300,1800,0,0,0,0,900,8100,0,0,158400,533700,326700,24300,1800,0,0,0,0,221400,0,0,0,0,0,0,0,0,0,0,0,0,0,900,3600
16,DW-6,4500,0,0,0,0,150300,0,0,9900,0,0,1800,0,0,2700,0,216900,279900,0,0,0,0,0,5400,306000,0,0,18000,77400,10800,5400,0,0,0,0,900,432900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DW-7,1800,0,0,0,0,4500,0,0,10800,1800,1800,0,0,1800,0,0,104400,117000,0,0,0,3600,9900,7200,348300,0,128700,33300,26100,9000,1800,13500,0,27900,5400,2700,490500,99900,72000,0,0,0,0,0,0,0,1800,0,900,0,0,0
18,DW-7a,1800,0,0,0,0,4500,0,0,12600,1800,1800,900,0,1800,0,0,126000,109800,0,0,0,3600,9900,7200,349200,0,122400,34200,29700,9900,1800,14400,0,25200,4500,1800,489600,90900,66600,0,0,900,0,0,0,0,1800,0,900,0,0,0
19,DW-8,0,0,0,0,0,315900,900,0,900,0,0,18900,0,0,0,0,43200,411300,0,0,0,0,0,1800,3600,0,0,63000,45900,15300,1800,0,0,0,0,0,610200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,DW-9,0,0,0,0,0,1800,0,0,900,0,0,0,0,0,0,0,92700,570600,0,0,0,0,0,0,3600,0,2700,13500,98100,14400,1800,0,0,0,0,1800,321300,199800,214200,0,0,0,0,0,0,0,0,0,0,0,0,0
21,GW-1,900,0,0,0,1800,164700,13500,0,7200,0,0,900,0,0,0,0,2700,422100,900,0,0,0,0,2700,57600,0,0,46800,171900,34200,1800,0,0,0,0,0,583200,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0
22,GW-10,0,0,0,0,0,0,0,0,1800,0,0,89100,0,0,0,0,10800,624600,0,0,0,0,0,0,0,0,0,39600,46800,3600,0,0,0,0,0,0,702000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100
23,GW-11,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,230400,0,0,0,0,0,0,0,0,0,3600,98100,22500,9900,0,0,0,0,0,1165500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GW-12,147600,18000,0,0,0,0,2700,0,18000,0,9000,0,0,0,3600,0,4500,179100,4500,0,0,0,0,0,15300,0,0,46800,31500,18000,17100,0,0,0,0,0,1010700,0,1800,0,0,0,0,0,0,900,0,0,0,9000,0,0
25,GW-13,900,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,670500,0,0,0,0,0,0,0,0,17100,12600,99900,28800,1800,0,0,16200,0,0,608400,45000,30600,0,0,0,0,0,0,0,0,0,0,0,0,0
26,GW-15,0,0,0,0,0,4500,0,0,18900,0,1800,0,0,900,0,0,0,922500,0,0,0,0,0,0,7200,0,0,5400,65700,35100,2700,0,4500,4500,3600,2700,333900,58500,71100,0,0,0,0,0,0,0,0,0,0,0,0,0
27,GW-16,0,0,0,0,2700,28800,0,0,11700,0,0,10800,0,0,0,0,111600,627300,900,0,0,0,0,1800,5400,0,78300,36900,72000,33300,8100,0,4500,22500,7200,3600,242100,108000,85500,0,0,0,0,0,0,0,0,0,0,0,0,22500
28,GW-17,9000,0,1800,0,0,32400,2700,0,1800,5400,0,0,0,0,0,0,5400,54900,0,0,0,0,0,1800,440100,0,176400,20700,27000,2700,0,2700,900,45900,17100,7200,515700,86400,72900,0,0,0,0,0,0,0,0,0,0,0,0,0
29,GW-18,0,0,0,0,0,29700,0,0,72000,0,0,0,0,0,0,0,0,213300,0,0,0,0,0,1800,392400,0,0,27900,75600,44100,24300,0,1800,0,0,900,573300,35100,41400,0,0,0,0,0,0,0,0,0,0,0,0,0
30,GW-19,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,1800,1291500,0,0,0,0,0,0,0,0,0,10800,75600,38700,3600,0,0,0,0,0,87300,11700,13500,0,0,0,0,0,0,0,0,0,0,0,0,0
31,GW-20,2700,0,0,0,159300,215100,21600,0,0,11700,5400,1800,0,4500,0,0,2700,500400,0,0,0,0,0,0,106200,0,0,7200,66600,16200,3600,0,0,0,0,0,55800,0,1800,0,0,0,0,0,0,12600,0,331200,2700,2700,2700,0
32,GW-21,51300,0,0,0,0,31500,0,0,0,900,225900,2700,0,0,0,0,4500,437400,0,0,0,0,0,0,49500,0,0,13500,108000,13500,1800,0,0,0,0,900,151200,0,0,0,0,0,0,0,0,2700,0,437400,0,0,1800,0
33,GW-22,1800,0,0,0,0,0,0,0,0,0,3600,0,0,0,3600,0,0,505800,0,0,0,0,0,0,606600,0,0,900,54000,14400,7200,0,0,1800,0,900,254700,34200,43200,0,0,2700,1800,0,0,0,0,0,0,0,0,0
34,GW-23,54000,9900,0,0,0,50400,4500,0,20700,0,133200,9900,900,0,11700,0,63900,394200,1800,4500,0,0,900,1800,49500,0,0,14400,102600,53100,9000,0,0,0,0,0,525600,0,0,0,0,5400,0,0,10800,2700,0,0,0,3600,0,0
35,GW-24,0,0,0,0,4500,155700,0,0,8100,0,0,0,0,0,0,0,3600,575100,0,0,0,0,0,0,168300,0,1800,5400,52200,12600,10800,1800,0,0,1800,900,460800,6300,17100,0,0,0,0,0,0,0,0,0,0,0,46800,0
36,GW-25,1800,0,0,0,0,17100,0,0,7200,1800,7200,900,0,0,0,0,140400,739800,0,1800,0,1800,900,0,4500,0,1800,64800,54900,18000,17100,0,4500,18000,8100,7200,206100,134100,78300,0,0,0,0,0,0,0,0,0,0,0,0,0
37,GW-27,1800,0,0,0,0,368100,0,0,7200,0,900,0,0,0,8100,3600,0,61200,0,0,0,0,0,0,18000,0,0,80100,392400,261000,36000,0,0,0,0,0,278100,0,1800,0,0,0,0,0,0,3600,0,0,0,0,0,0
38,GW-3,3600,0,0,0,0,2700,0,0,10800,0,0,0,0,0,5400,0,279900,323100,0,7200,0,0,2700,0,224100,0,0,7200,114300,40500,5400,1800,8100,11700,8100,14400,378900,43200,34200,0,0,0,0,0,0,1800,0,0,0,0,0,0
39,GW-4D,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,181800,900,0,0,0,0,0,900,0,0,28800,63900,900,5400,0,0,0,0,0,1231200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,184500,900,0,0,0,0,0,1800,0,0,28800,65700,900,5400,0,0,0,0,0,1232100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,GW-5,7200,5400,0,0,900,6300,900,2700,41400,4500,31500,7200,0,0,6300,3600,5400,179100,900,0,0,0,4500,900,374400,1800,900,89100,81900,12600,0,0,0,34200,12600,4500,420300,102600,37800,0,0,0,2700,0,5400,14400,0,21600,0,0,0,0
42,GW-6,0,0,0,0,0,81900,0,0,0,0,0,0,0,0,0,0,1800,596700,0,0,0,0,0,0,0,0,0,26100,67500,17100,0,0,0,0,0,0,730800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,GW-7,82800,0,0,0,0,0,0,0,48600,0,1800,900,0,0,900,0,19800,760500,0,0,0,0,0,0,17100,0,0,21600,78300,63900,13500,1800,0,0,0,0,401400,0,3600,1800,2700,0,0,2700,0,0,0,0,0,0,0,0
44,GW-8,0,0,1800,0,0,7200,0,0,1800,0,0,4500,0,12600,0,0,3600,324900,0,0,0,0,1800,0,0,0,126000,36900,244800,118800,9900,900,0,3600,0,1800,619200,2700,900,0,0,0,0,0,0,0,0,0,0,0,0,0
45,GW-8R,0,0,1800,0,900,9000,0,0,1800,0,0,5400,0,12600,0,0,3600,350100,0,0,0,0,1800,0,0,0,126000,35100,255600,103500,9900,900,0,3600,0,1800,598500,2700,900,0,0,0,0,0,0,0,0,0,0,0,0,0
