Category,Land_Use,Low_lbN/ha,High_lbN/ha,
Misc,PEPPERS,150,200,https://extension.oregonstate.edu/catalog/pub/em-9165-nutrient-management-sustainable-vegetable-cropping-systems-western-oregon
Misc,SUGARBEETS,256,400,"Shock et al., 1996"
Misc,OTHER_CROPS,0,741,
Misc,GARLIC,150,200,https://extension.oregonstate.edu/catalog/pub/em-9165-nutrient-management-sustainable-vegetable-cropping-systems-western-oregon
Misc,ONIONS,100,150,https://extension.oregonstate.edu/catalog/pub/em-9165-nutrient-management-sustainable-vegetable-cropping-systems-western-oregon
Misc,CLOVER.WILDFLOWER,0,0,https://extension.oregonstate.edu/sites/extd8/files/documents/fg17.pdf
Misc,CLOVER_WILDFLOWERS,0,0,https://extension.oregonstate.edu/sites/extd8/files/documents/fg17.pdf
Misc,BROCCOLI,185,741,https://extension.oregonstate.edu/sites/extd8/files/2023-08/em-9221.pdf
Misc,CABBAGE,185,741,https://extension.oregonstate.edu/sites/extd8/files/2023-08/em-9221.pdf
Misc,RADISHES,185,741,https://extension.oregonstate.edu/sites/extd8/files/2023-08/em-9221.pdf
Misc,TURNIPS,185,741,https://extension.oregonstate.edu/sites/extd8/files/2023-08/em-9221.pdf
Misc,MUSTARD,185,741,https://extension.oregonstate.edu/sites/extd8/files/2023-08/em-9221.pdf
Misc,CANOLA,185,741,https://extension.oregonstate.edu/sites/extd8/files/2023-08/em-9221.pdf
Misc,CAULIFLOWER,185,741,https://extension.oregonstate.edu/sites/extd8/files/2023-08/em-9221.pdf
Misc,CHRISTMAS_TREES,0,150,"Hart et al., 2009b"
Misc,OTHER_TREE_CROPS,0,150,"Hart et al., 2009b"
Misc,WALNUTS,108,324,"https://extension.oregonstate.edu/sites/extd8/files/documents/em9080.pdf, https://extension.oregonstate.edu/sites/extd8/files/documents/em9077.pdf"
Misc,CANEBERRIES,50,70,"Hart et al., 2006a"
Misc,STRAWBERRIES,25,50,"Hart et al., 2000"
Misc,CRANBERRIES,140,240,https://extension.oregonstate.edu/sites/extd8/files/documents/em8672.pdf
Orchard Crops,APPLES,15,50,"Righetti et al., 1998"
Orchard Crops,CHERRIES,15,50,"Righetti et al., 1998"
Orchard Crops,PEACHES,15,50,"Righetti et al., 1998"
Orchard Crops,PEARS,15,50,"Righetti et al., 1998"
Orchard Crops,PLUMS,15,50,"Righetti et al., 1998"
Orchard Crops,PRUNES,15,50,"Righetti et al., 1998"
Wetlands,HERBACEOUS_WETLANDS,0,0,"Jia Jia et al., 2019"
Wetlands,WETLANDS,0,0,"Jia Jia et al., 2019"
Wetlands,WOODY_WETLANDS,0,0,"Jia Jia et al., 2019"
Blueberries,BLUEBERRIES,0,165,"Hart et al., 2006b"
Open_Water,OPEN_WATER,0,0,"Jia Jia et al., 2019"
