OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,OATS,FLAXSEED,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,APPLES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,GARLIC,PRUNES,PLUMS,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,CABBAGE,CAULIFLOWER,RADISHES,CRANBERRIES
11,DW-16,10800,7200,0,0,0,258300,12600,0,8100,8100,14400,34200,72000,17100,900,0,19800,293400,28800,1800,0,0,0,7200,13500,22500,109800,36900,2700,2700,0,5400,2700,0,237600,117000,7200,0,0,0,165600,0,1800,17100,0,3600,1800,7200
12,DW-17,0,0,0,0,7200,267300,0,0,0,0,0,0,0,0,0,7200,8100,1127700,0,0,0,0,0,0,0,3600,51300,3600,0,0,0,0,0,0,53100,0,0,0,0,0,0,0,0,900,0,0,0,0
13,DW-2,900,14400,0,0,0,28800,0,0,0,1800,0,1800,0,0,0,125100,0,128700,87300,10800,0,0,0,15300,18000,900,71100,18000,0,900,0,21600,18900,0,756900,72900,2700,0,11700,0,3600,0,0,0,2700,0,110700,0
14,DW-3,0,15300,0,0,0,255600,2700,0,0,9900,0,27900,0,0,0,1800,0,641700,1800,0,0,0,0,0,27000,43200,105300,18000,0,5400,0,0,0,0,336600,14400,4500,0,0,0,0,0,0,0,17100,0,0,0
15,DW-5,0,0,0,0,0,332100,0,0,0,1800,0,0,0,0,0,0,0,87300,21600,0,0,0,0,0,0,243000,605700,79200,900,0,0,0,0,0,153000,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DW-6,0,0,3600,0,0,0,0,0,0,48600,0,0,0,0,0,99900,0,939600,27000,0,0,0,0,0,0,10800,44100,0,0,11700,0,0,0,2700,311400,0,0,0,0,0,27000,0,0,0,3600,0,0,0
17,DW-7,1800,0,0,0,900,35100,6300,0,14400,16200,0,0,0,0,0,6300,0,711900,4500,0,0,0,0,7200,75600,29700,12600,0,0,12600,0,36000,46800,4500,365400,129600,10800,0,900,0,0,0,0,0,0,0,0,0
18,DW-7a,1800,0,0,0,900,32400,6300,0,16200,17100,0,0,0,0,0,7200,0,738900,4500,0,0,0,0,7200,74700,30600,13500,0,0,10800,0,33300,37800,1800,363600,119700,9900,0,900,0,0,0,0,0,0,0,0,0
19,DW-8,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,1317600,0,0,0,0,900,0,0,8100,20700,0,0,0,0,0,0,0,183600,0,0,0,0,0,0,0,0,0,0,0,0,0
20,DW-9,5400,900,0,0,0,44100,0,0,0,0,0,0,0,0,0,0,13500,94500,0,0,0,0,1800,0,0,11700,98100,1800,0,0,0,0,0,0,810900,450900,1800,0,0,0,0,0,0,0,0,0,0,4500
21,GW-1,78300,115200,0,0,900,41400,0,0,0,14400,0,0,0,0,0,33300,0,602100,2700,0,0,0,0,1800,0,57600,131400,5400,0,0,0,0,0,1800,417600,16200,0,0,0,0,0,0,0,0,1800,0,0,0
22,GW-10,0,0,0,0,1800,263700,0,0,0,28800,0,0,0,0,0,0,0,944100,4500,0,0,0,0,0,0,19800,29700,0,0,0,0,0,0,0,234000,0,0,0,0,0,0,0,0,0,3600,0,0,0
23,GW-11,0,0,0,0,0,0,0,0,0,19800,0,0,0,0,0,0,0,934200,9000,0,0,0,0,0,0,900,76500,18900,0,0,0,0,0,0,477000,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GW-12,45900,5400,1800,0,0,0,1800,0,6300,41400,0,0,0,0,0,2700,14400,184500,1800,0,0,0,0,0,5400,56700,40500,19800,2700,0,0,0,0,0,1106100,0,900,0,0,0,0,0,0,0,0,0,0,0
25,GW-13,900,0,0,0,0,142200,0,0,0,1800,0,0,0,0,0,0,0,348300,12600,0,0,0,0,0,20700,28800,116100,3600,0,0,0,0,900,0,753300,87300,19800,0,0,0,0,0,0,0,0,0,0,0
26,GW-15,900,0,900,0,8100,99000,2700,0,0,8100,1800,0,36900,0,0,0,0,693000,26100,0,0,0,0,3600,0,27900,63900,17100,0,0,0,3600,5400,0,318600,189000,900,900,0,0,0,0,0,0,1800,0,35100,0
27,GW-16,6300,900,72000,0,18000,265500,0,0,0,6300,0,19800,0,3600,0,130500,2700,15300,49500,0,0,0,0,15300,50400,30600,55800,20700,5400,0,0,11700,37800,14400,320400,204300,17100,0,0,0,153000,0,0,0,0,0,4500,0
28,GW-17,8100,1800,0,0,0,77400,11700,0,0,14400,0,0,0,0,0,0,0,457200,12600,0,0,0,900,1800,129600,26100,29700,0,0,26100,1800,21600,51300,59400,407700,97200,33300,0,0,0,62100,1800,0,0,0,0,0,0
29,GW-18,4500,0,0,0,0,21600,8100,0,0,2700,0,0,0,0,0,0,0,503100,60300,0,0,0,0,0,0,29700,60300,39600,10800,0,0,0,12600,900,661500,61200,6300,0,0,0,43200,0,0,0,0,0,0,0
30,GW-19,27900,8100,0,5400,14400,167400,11700,0,0,8100,1800,0,0,0,0,12600,7200,910800,27000,0,0,0,900,1800,0,8100,66600,6300,900,0,0,6300,5400,0,134100,36000,4500,0,0,0,0,900,0,0,0,0,52200,0
31,GW-20,0,0,0,0,7200,292500,0,0,0,0,0,0,0,0,0,6300,8100,1109700,0,0,0,0,0,0,0,3600,49500,3600,0,0,0,0,0,0,54000,0,0,0,0,0,0,0,0,900,0,0,0,0
32,GW-21,105300,0,3600,0,41400,860400,0,0,0,29700,0,0,0,0,0,29700,172800,41400,29700,0,0,0,5400,0,0,1800,92700,8100,0,0,0,0,0,11700,85500,0,0,0,0,0,6300,0,0,0,0,0,2700,5400
33,GW-22,10800,0,0,0,26100,772200,30600,0,0,0,0,16200,6300,0,0,0,171900,10800,0,0,0,0,0,3600,0,8100,67500,14400,5400,0,0,9000,2700,0,257400,78300,0,1800,0,10800,0,0,0,6300,0,0,0,26100
34,GW-23,53100,22500,2700,0,0,14400,1800,22500,0,12600,0,14400,24300,1800,6300,0,25200,414900,162000,1800,0,2700,13500,0,0,31500,99000,3600,7200,0,0,0,0,0,497700,1800,3600,0,0,8100,0,0,0,0,0,16200,0,74700
35,GW-24,14400,5400,0,0,3600,396000,5400,0,0,28800,4500,12600,30600,4500,0,3600,23400,288000,19800,0,1800,0,5400,0,0,35100,55800,9900,3600,0,0,900,0,0,509400,30600,0,0,0,900,0,0,0,2700,0,0,0,43200
36,GW-25,0,0,0,0,0,257400,1800,0,0,3600,0,3600,3600,0,0,0,5400,597600,3600,0,1800,0,4500,4500,0,39600,54000,9000,6300,0,0,31500,33300,0,171900,245700,0,0,0,4500,0,56700,0,0,0,0,0,0
37,GW-27,0,111600,0,0,0,129600,0,0,0,7200,0,0,0,0,0,900,0,274500,34200,0,0,0,0,7200,0,97200,464400,130500,24300,0,0,0,0,1800,234000,1800,0,0,0,0,0,0,0,0,0,0,0,0
38,GW-3,248400,900,0,0,0,105300,0,0,1800,15300,0,0,0,0,0,15300,0,46800,900,0,0,0,0,0,0,66600,151200,36000,7200,28800,3600,37800,87300,60300,484200,130500,2700,0,3600,0,0,0,0,0,0,0,0,0
39,GW-4D,900,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,1278000,4500,0,0,0,0,0,0,25200,27900,1800,1800,0,0,0,0,0,177300,0,0,0,0,0,0,0,0,0,0,0,0,0
40,GW-4S,900,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,1277100,5400,0,0,0,0,0,0,25200,28800,1800,1800,0,0,0,0,0,179100,0,0,0,0,0,0,0,0,0,0,0,0,0
41,GW-5,2700,23400,0,0,0,222300,0,0,0,900,0,1800,0,0,0,51300,900,110700,136800,0,0,0,0,1800,0,56700,49500,900,0,1800,0,35100,20700,2700,410400,259200,1800,0,0,0,0,0,0,0,122400,0,9900,0
42,GW-6,0,0,0,0,0,40500,0,0,0,2700,0,0,0,0,0,0,0,1217700,1800,0,0,0,0,0,0,57600,47700,0,0,0,0,0,0,0,162900,0,0,0,0,0,0,0,0,0,0,0,0,0
43,GW-7,99000,100800,0,0,0,90900,0,0,0,52200,0,0,0,0,0,0,0,636300,62100,0,0,0,0,0,0,40500,126000,23400,900,0,0,0,0,0,297900,0,0,0,1800,0,0,0,0,0,0,0,0,0
44,GW-8,75600,72900,0,0,0,247500,0,0,0,16200,0,0,0,0,0,0,0,153900,12600,4500,0,0,0,0,114300,161100,260100,67500,2700,0,0,0,0,0,319500,6300,14400,0,0,0,0,0,0,0,0,0,0,0
45,GW-8R,116100,89100,0,0,0,235800,0,0,0,11700,0,0,0,0,0,0,0,129600,12600,4500,0,0,0,0,114300,153900,252000,60300,2700,0,0,0,0,0,324000,6300,14400,0,0,0,0,0,0,0,0,0,1800,0
