OBJECTID,LOCATION,CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,RYE,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,PEAS,CANEBERRIES,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,APPLES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,WALNUTS,PEARS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,GARLIC,GREENS,PLUMS,SQUASH,PUMPKINS,BLUEBERRIES,CAULIFLOWER,RADISHES,TURNIPS
19,DW-8,0,0,0,0,103500,0,0,0,900,0,0,0,327600,0,0,0,11700,913500,0,0,0,0,0,27900,0,0,0,4500,31500,0,0,0,0,0,0,0,111600,0,0,0,0,0,0,0,0,0,0,0
20,DW-9,2700,0,0,0,1800,0,0,900,2700,0,0,0,0,0,0,0,330300,111600,0,4500,0,0,900,7200,0,0,0,9900,103500,0,0,0,0,0,0,0,509400,452700,1800,0,0,0,0,0,0,0,0,0
21,GW-1,1800,0,0,0,180000,0,0,0,18000,0,0,75600,0,0,0,4500,12600,584100,4500,0,0,2700,1800,88200,0,0,0,52200,150300,9000,0,0,0,0,0,1800,325800,6300,2700,0,0,0,0,0,0,0,0,0
22,GW-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422100,999900,0,0,0,0,0,0,0,0,0,4500,27900,0,0,0,0,0,0,0,75600,0,0,0,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,634500,0,0,0,0,0,10800,0,0,0,0,93600,13500,0,0,0,0,0,0,782100,0,0,0,0,0,0,0,0,0,0,0
24,GW-12,16200,0,0,0,9900,0,0,0,15300,0,0,0,0,0,0,117000,900,507600,3600,0,0,0,0,9000,0,0,3600,53100,39600,20700,2700,0,0,0,0,2700,731700,0,0,0,0,0,3600,0,900,0,0,0
25,GW-13,0,0,0,0,0,0,0,0,1800,0,1800,0,0,0,0,0,3600,583200,0,0,0,0,0,15300,0,0,7200,31500,107100,3600,0,4500,0,900,0,31500,651600,86400,6300,0,0,0,0,0,0,0,0,0
26,GW-15,900,0,0,0,3600,0,0,0,17100,0,1800,3600,0,0,0,0,7200,765000,0,0,0,0,0,2700,0,0,0,25200,66600,10800,2700,0,0,7200,3600,9000,234900,188100,9900,0,0,2700,0,0,1800,0,0,180900
27,GW-16,99900,15300,0,0,0,2700,0,0,5400,0,73800,0,1800,0,2700,17100,5400,518400,0,0,0,0,0,55800,0,0,53100,25200,62100,16200,5400,6300,0,14400,5400,28800,186300,225000,20700,900,6300,0,74700,0,2700,0,0,0
28,GW-17,1800,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,0,32400,118800,0,900,0,900,1800,503100,0,0,157500,15300,23400,0,0,17100,0,12600,3600,36900,371700,154800,30600,900,17100,0,0,0,29700,0,0,0
29,GW-18,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,780300,900,0,0,0,0,407700,0,0,0,15300,44100,43200,18900,0,0,0,1800,8100,126900,72000,2700,0,0,0,0,0,2700,0,0,0
30,GW-19,0,0,0,0,0,1800,1800,4500,2700,0,331200,0,1800,0,0,0,6300,733500,0,0,0,0,0,9000,0,0,0,5400,72900,4500,4500,0,0,0,1800,2700,57600,45000,1800,0,1800,0,233100,0,0,0,2700,0
31,GW-20,3600,0,0,0,598500,0,0,0,4500,0,1800,0,0,0,0,0,0,532800,0,0,0,0,0,16200,0,0,1800,3600,45000,3600,0,0,0,0,0,3600,41400,0,0,0,2700,0,276300,0,0,0,0,0
32,GW-21,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,900,0,0,1170000,900,3600,0,0,0,218700,0,0,0,1800,90000,14400,900,0,0,0,0,0,26100,0,0,0,4500,0,0,0,0,0,0,0
33,GW-22,9900,0,0,0,0,0,0,2700,3600,0,0,0,0,0,0,55800,900,503100,0,0,0,2700,0,481500,0,0,0,6300,78300,4500,9000,0,1800,5400,0,3600,189000,81000,10800,0,0,0,49500,0,36900,0,0,0
34,GW-23,185400,0,0,7200,0,0,0,0,18000,15300,61200,2700,11700,0,6300,27000,65700,381600,33300,900,0,8100,0,16200,0,0,2700,25200,99000,9000,7200,0,0,0,0,6300,391500,0,0,0,19800,0,76500,0,62100,0,0,0
35,GW-24,0,0,0,0,270900,0,0,900,13500,0,900,0,0,0,0,0,10800,610200,0,0,1800,2700,0,118800,0,0,1800,27900,46800,11700,7200,0,1800,2700,0,5400,356400,46800,0,0,0,0,0,0,900,0,0,0
36,GW-25,1800,0,0,0,19800,0,0,0,3600,900,22500,0,0,0,0,0,7200,937800,0,0,0,1800,0,11700,0,0,0,35100,50400,13500,6300,900,4500,8100,1800,11700,91800,293400,4500,2700,0,0,1800,0,6300,0,0,0
37,GW-27,34200,0,0,0,0,0,0,1800,7200,900,1800,0,0,0,0,900,9000,451800,1800,0,0,0,0,38700,0,0,0,89100,439200,169200,22500,0,0,0,0,900,239400,1800,900,0,3600,0,0,0,0,0,4500,0
38,GW-3,370800,0,0,0,0,0,0,0,10800,1800,0,0,0,0,0,0,5400,279900,0,0,0,0,0,160200,0,0,0,52200,167400,31500,7200,0,0,126000,1800,5400,180000,130500,3600,0,0,0,0,0,0,0,0,0
39,GW-4D,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,0,0,1800,1244700,1800,0,0,0,0,1800,0,0,0,16200,36000,1800,1800,0,0,0,0,0,209700,0,0,0,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,0,0,0,0,10800,0,0,0,0,0,0,0,1800,1237500,1800,0,0,0,0,1800,0,0,0,16200,37800,1800,1800,0,0,0,0,0,217800,0,0,0,0,0,0,0,0,0,0,0
41,GW-5,6300,1800,6300,0,0,0,0,0,7200,0,3600,0,2700,0,0,0,57600,416700,10800,0,0,1800,3600,325800,900,0,0,51300,52200,900,0,0,0,13500,4500,7200,314100,187200,0,0,900,1800,23400,0,1800,0,19800,0
42,GW-6,0,0,0,4500,0,0,0,0,9900,0,0,0,0,0,0,0,119700,1115100,0,0,0,0,0,155700,0,0,0,40500,63000,0,0,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,0,0,0
43,GW-7,4500,0,0,0,0,0,0,63000,60300,900,0,2700,0,1800,0,2700,127800,676800,7200,0,0,0,0,32400,0,0,1800,43200,130500,20700,6300,900,0,0,0,0,289800,0,0,4500,4500,4500,0,0,36900,0,8100,0
44,GW-8,900,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,900,4500,570600,3600,0,0,0,1800,3600,0,0,122400,150300,267300,72000,2700,8100,0,0,0,5400,302400,7200,900,0,0,0,0,0,0,0,0,0
45,GW-8R,900,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,900,4500,574200,3600,0,0,0,1800,3600,0,0,122400,145800,261900,60300,2700,8100,0,0,0,5400,320400,7200,900,0,0,0,0,0,0,0,0,0
