OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,OATS,CANOLA,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,MISC_VEGS___FRUITS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,FOREST,CHERRIES,CHRISTMAS_TREES,OTHER_TREE_CROPS,WALNUTS,WETLANDS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,BROCCOLI,PEPPERS,GREENS,PLUMS,STRAWBERRIES,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,CABBAGE,CAULIFLOWER,RADISHES,TURNIPS,CRANBERRIES
14,DW-3,0,0,0,6300,264600,1800,0,0,4500,29700,3600,3600,0,1800,0,2700,900,438300,136800,0,2700,0,2700,0,0,31500,32400,128700,22500,0,0,0,0,0,0,377100,11700,9900,0,0,0,14400,0,0,0,0,0,0,0,0,0,0,0
15,DW-5,0,0,0,900,226800,0,0,0,0,0,0,0,0,0,0,0,1800,17100,17100,0,0,0,0,0,0,0,310500,608400,65700,0,0,0,0,0,0,272700,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DW-6,0,0,21600,0,30600,0,0,0,0,0,0,0,0,0,0,79200,1800,936900,15300,900,0,0,0,0,0,0,10800,48600,0,0,0,0,0,0,0,383400,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0
17,DW-7,0,0,0,2700,9000,1800,0,1800,7200,0,0,0,0,900,0,0,1800,634500,1800,4500,0,0,4500,0,0,123300,27900,17100,0,0,11700,0,18000,9000,0,429300,218700,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,DW-7a,0,0,0,2700,9000,1800,0,900,7200,0,0,0,0,900,0,0,2700,649800,1800,2700,0,0,4500,0,0,118800,30600,18000,0,0,10800,0,16200,9000,0,440100,198000,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,DW-8,0,0,0,1800,342000,0,0,0,0,0,0,0,0,0,0,0,0,934200,0,0,0,0,0,0,0,0,16200,34200,0,0,0,0,0,0,0,204300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,DW-9,0,0,0,1800,94500,0,0,0,0,0,0,0,0,0,0,0,2700,549900,14400,0,0,1800,0,0,0,0,7200,100800,0,0,0,0,900,0,0,311400,452700,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0
21,GW-1,0,1800,0,2700,293400,0,0,1800,1800,0,0,3600,0,0,0,0,2700,593100,7200,0,0,0,0,0,0,0,50400,170100,4500,0,0,0,0,0,0,374400,9900,0,0,0,0,0,0,2700,0,0,0,1800,0,0,0,0,0
22,GW-10,0,0,0,1800,340200,0,0,0,0,0,0,0,0,0,0,0,0,932400,3600,0,0,0,0,0,0,0,12600,31500,0,0,0,0,0,0,0,207900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,488700,0,0,0,0,0,0,0,0,0,85500,16200,0,0,0,0,0,0,944100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GW-12,0,0,0,0,0,900,0,0,11700,0,0,900,0,14400,0,0,55800,555300,11700,0,0,0,0,0,0,0,74700,33300,19800,2700,0,0,0,0,0,752400,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0
25,GW-13,0,0,0,8100,174600,0,0,0,0,4500,0,0,0,0,0,0,1800,546300,10800,0,0,0,3600,0,0,11700,28800,99000,5400,0,0,0,0,1800,0,549000,89100,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,GW-15,0,0,17100,0,23400,2700,0,1800,14400,0,26100,0,0,0,0,0,2700,531900,238500,0,0,11700,2700,0,0,0,12600,57600,19800,0,0,14400,1800,2700,0,392400,164700,900,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,3600
27,GW-16,3600,18900,206100,900,37800,0,0,0,1800,9000,7200,1800,0,0,0,46800,33300,143100,18000,12600,0,0,9000,0,0,48600,25200,55800,26100,0,0,5400,35100,9900,5400,315000,200700,9000,0,0,1800,0,0,0,224100,0,0,0,0,1800,18000,0,0
28,GW-17,1800,0,0,8100,549000,10800,0,0,0,12600,0,0,0,0,0,0,900,19800,6300,2700,0,0,0,0,0,153900,21600,26100,0,0,14400,8100,9900,0,6300,513000,155700,12600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,GW-18,1800,0,0,4500,408600,2700,0,0,0,12600,900,0,0,0,0,0,900,91800,560700,0,0,0,6300,0,0,900,11700,55800,42300,10800,0,0,0,0,1800,233100,73800,1800,0,0,900,0,0,0,0,0,0,0,0,1800,0,0,900
30,GW-19,5400,0,0,16200,900,0,0,0,0,0,0,2700,0,0,0,0,104400,931500,107100,0,0,900,0,0,0,0,3600,78300,3600,900,0,0,2700,900,0,221400,38700,900,0,0,0,0,0,0,6300,0,0,0,0,0,0,0,0
31,GW-20,0,0,71100,0,113400,0,0,900,1800,0,14400,1800,0,0,0,2700,9900,1102500,19800,0,0,0,0,0,0,0,3600,49500,900,0,0,0,0,0,0,141300,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,GW-21,99000,228600,0,39600,495900,4500,0,1800,0,207900,5400,0,0,0,0,0,150300,9900,3600,0,0,0,0,0,0,0,1800,96300,9000,0,0,0,0,0,0,128700,0,0,0,0,0,0,0,0,44100,0,0,0,0,0,7200,0,0
33,GW-22,1800,1800,3600,57600,170100,5400,0,2700,5400,11700,14400,0,0,6300,0,0,213300,300600,30600,1800,0,0,11700,0,0,0,3600,72900,14400,5400,0,0,4500,3600,0,314100,79200,0,0,0,0,0,0,0,127800,0,0,0,0,0,36900,0,35100
34,GW-23,1800,75600,0,16200,341100,5400,0,0,900,0,45900,4500,0,1800,0,0,3600,264600,6300,0,0,0,11700,0,0,0,31500,90000,10800,3600,0,0,0,0,0,412200,0,0,0,0,0,0,1800,0,142200,0,0,0,0,0,0,0,68400
35,GW-24,0,0,0,37800,519300,2700,900,0,9000,0,0,0,0,1800,900,0,6300,346500,0,0,0,2700,900,0,0,0,28800,51300,9900,3600,0,0,0,3600,0,447300,42300,1800,0,0,0,0,0,0,13500,900,0,0,0,0,0,0,8100
36,GW-25,1800,0,0,7200,381600,5400,0,0,0,0,0,0,0,0,0,0,0,653400,0,1800,0,0,0,0,0,0,39600,48600,9000,6300,0,900,17100,14400,0,99900,251100,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,GW-27,0,9900,0,0,191700,0,0,0,0,0,3600,900,0,900,0,0,2700,299700,9000,0,0,0,4500,0,0,0,98100,434700,163800,19800,0,0,0,0,0,278100,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,GW-3,260100,4500,0,900,0,0,0,0,0,0,0,0,0,0,0,21600,126000,17100,0,0,0,0,2700,0,0,13500,54900,165600,31500,3600,0,30600,49500,14400,900,563400,173700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,GW-4D,0,0,0,0,104400,0,0,0,19800,0,0,0,0,0,0,0,0,844200,8100,0,0,0,0,0,0,0,18000,34200,1800,1800,0,0,0,0,0,494100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,97200,0,0,0,19800,0,0,0,0,0,0,0,0,844200,8100,0,0,0,0,0,0,0,18000,36000,1800,1800,0,0,0,0,0,502200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,GW-5,3600,195300,5400,900,420300,0,0,0,5400,5400,0,1800,0,0,0,14400,23400,144900,6300,0,1800,0,6300,0,0,1800,55800,51300,900,0,0,5400,20700,6300,5400,336600,196200,4500,0,0,3600,0,0,0,0,0,0,0,0,0,0,0,0
42,GW-6,0,0,0,4500,372600,0,0,0,1800,0,0,0,0,1800,0,0,0,955800,0,0,0,0,0,0,0,0,50400,62100,0,0,0,0,0,0,0,81900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,GW-7,0,900,0,7200,27000,0,0,9900,87300,6300,18000,25200,0,0,0,0,9000,285300,31500,0,0,0,0,0,1800,0,23400,131400,27900,900,0,0,0,0,0,788400,0,0,0,0,0,0,0,0,46800,0,3600,0,0,0,0,0,0
44,GW-8,80100,15300,5400,2700,234900,2700,0,0,5400,0,0,2700,0,0,0,0,51300,134100,12600,0,0,1800,0,0,0,120600,119700,202500,69300,2700,0,0,0,0,0,441900,6300,9000,0,4500,1800,0,0,0,0,0,0,0,0,0,0,0,1800
45,GW-8R,109800,17100,6300,2700,221400,2700,0,0,7200,0,0,2700,0,0,0,0,62100,98100,12600,0,0,1800,0,0,0,120600,111600,189000,55800,2700,0,0,0,0,0,481500,6300,9000,0,4500,1800,0,0,0,0,0,0,0,0,0,0,0,1800
