OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,RYE,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,ONIONS,CHICK_PEAS,PEAS,HOPS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,APPLES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,WALNUTS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,GREENS,SQUASH,BLUEBERRIES,RADISHES,TURNIPS
12,DW-17,0,134100,1800,0,54000,0,50400,1800,4500,208800,93600,0,0,0,0,0,12600,702900,18900,0,0,0,0,111600,0,0,10800,57600,3600,1800,0,0,0,0,0,47700,0,1800,0,0,0,11700,0,0,0
13,DW-2,0,0,4500,1800,9000,0,1800,0,6300,1800,5400,3600,0,0,0,6300,5400,373500,3600,0,0,1800,3600,162900,0,88200,13500,28800,8100,0,16200,900,7200,6300,15300,651600,21600,74700,0,0,0,0,1800,0,0
14,DW-3,0,0,0,1800,134100,2700,9000,900,4500,0,0,4500,0,0,0,0,0,477900,0,0,0,1800,0,450900,0,36900,27900,86400,10800,0,900,0,0,0,0,242100,4500,23400,900,0,900,0,4500,900,0
15,DW-5,0,0,1800,0,0,0,0,0,0,0,0,1800,0,0,0,0,3600,440100,0,0,0,0,0,1800,0,0,268200,529200,146700,5400,0,0,0,0,0,126000,0,0,0,0,0,0,0,0,0
16,DW-6,0,0,0,0,112500,0,0,0,23400,12600,0,0,0,0,1800,0,52200,864000,0,0,0,0,0,45000,0,0,17100,56700,0,0,0,0,0,0,0,337500,0,4500,0,0,900,0,1800,0,0
17,DW-7,0,0,5400,0,2700,0,0,13500,25200,0,9000,1800,0,0,0,0,171000,196200,1800,0,0,4500,0,269100,0,127800,45000,10800,0,0,8100,0,17100,4500,10800,347400,80100,169200,0,0,0,0,8100,0,0
18,DW-7a,0,0,5400,0,2700,0,0,13500,36900,0,9000,1800,0,0,0,0,183600,195300,1800,0,0,4500,0,269100,0,123300,46800,11700,0,0,8100,0,16200,2700,12600,345600,69300,160200,0,0,0,0,9000,0,0
19,DW-8,0,0,0,324000,0,0,0,0,0,0,0,0,0,0,13500,0,9900,801900,0,0,0,0,0,24300,0,0,69300,36000,0,0,0,0,0,0,0,253800,0,0,0,0,0,0,0,0,0
20,DW-9,0,0,0,0,900,0,0,0,2700,0,0,28800,0,0,0,0,296100,81000,900,0,0,60300,1800,100800,0,5400,35100,87300,0,0,0,900,3600,0,3600,401400,42300,387000,0,0,0,0,0,0,0
21,GW-1,86400,126900,0,0,58500,0,1800,0,6300,3600,9900,2700,1800,0,0,1800,3600,475200,0,0,0,9900,0,122400,0,0,46800,155700,7200,0,0,0,0,0,900,388800,4500,5400,0,0,0,0,1800,0,0
22,GW-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18900,963000,0,0,0,0,0,59400,0,0,65700,29700,0,0,0,0,0,0,0,393300,0,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,582300,0,0,0,0,0,0,0,0,5400,82800,16200,0,0,0,0,0,0,846900,0,900,0,0,0,0,0,0,0
24,GW-12,63000,23400,0,0,9000,0,900,2700,22500,0,1800,104400,0,900,0,0,8100,396900,0,1800,0,0,0,17100,0,0,59400,18900,17100,1800,900,0,0,0,0,784800,0,2700,0,0,0,0,0,0,0
25,GW-13,0,0,0,0,0,0,2700,0,1800,0,0,0,0,0,0,0,1800,512100,0,0,0,0,2700,900,0,11700,11700,108900,7200,0,0,0,10800,1800,7200,773100,15300,66600,0,0,0,0,0,0,0
26,GW-15,0,900,0,0,6300,0,0,1800,18900,0,0,1800,0,0,0,0,7200,787500,1800,0,0,1800,1800,15300,0,0,7200,50400,21600,0,0,0,9900,8100,9000,321300,63900,81900,0,1800,0,0,5400,119700,0
27,GW-16,14400,93600,19800,0,5400,0,900,0,7200,2700,34200,1800,0,0,0,2700,4500,635400,19800,0,0,0,900,32400,0,70200,59400,64800,19800,5400,900,0,12600,9900,16200,162000,89100,144000,0,0,0,0,1800,0,0
28,GW-17,1800,1800,0,0,0,0,0,0,0,0,2700,0,0,0,0,1800,24300,138600,0,0,0,1800,1800,503100,0,188100,27000,15300,0,0,1800,0,43200,21600,14400,347400,59400,126000,0,0,0,0,11700,0,0
29,GW-18,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414900,0,0,0,900,0,406800,0,1800,45900,54900,40500,10800,0,0,1800,0,3600,466200,9000,67500,0,0,0,0,0,0,0
30,GW-19,4500,49500,0,0,0,0,1800,1800,8100,0,900,0,0,0,0,900,15300,1046700,70200,0,0,0,0,109800,0,0,28800,76500,4500,900,0,0,900,2700,1800,63900,16200,20700,0,0,0,0,0,0,0
31,GW-20,0,130500,1800,0,111600,0,53100,1800,4500,217800,117000,0,0,0,0,0,15300,616500,16200,0,0,0,0,112500,0,0,11700,57600,3600,1800,0,0,0,0,0,48600,0,1800,0,0,0,11700,0,0,0
32,GW-21,0,0,0,0,1800,0,900,0,0,0,0,900,0,0,0,1800,0,1344600,0,3600,0,0,0,68400,0,0,7200,78300,9000,0,0,0,0,0,0,17100,0,0,0,0,0,0,0,0,0
33,GW-22,2700,0,0,0,900,0,0,2700,5400,0,0,55800,0,900,0,2700,0,535500,1800,0,0,1800,0,550800,0,0,1800,54900,8100,0,6300,0,0,5400,0,192600,20700,63900,0,0,0,0,21600,0,0
34,GW-23,42300,39600,0,900,107100,0,22500,0,16200,1800,51300,45000,4500,14400,6300,6300,12600,560700,0,7200,0,1800,0,21600,0,0,54000,81000,3600,7200,0,0,1800,0,0,423000,0,900,0,1800,0,0,2700,0,1800
35,GW-24,0,900,0,1800,44100,0,0,3600,18900,0,7200,0,0,0,0,900,8100,591300,900,0,0,11700,900,157500,0,900,11700,39600,10800,3600,1800,0,0,900,0,382500,4500,30600,0,0,202500,0,2700,0,0
36,GW-25,108900,5400,3600,900,6300,0,0,3600,1800,0,211500,1800,0,0,0,3600,9900,616500,0,0,900,0,0,20700,0,5400,82800,54000,9000,6300,0,0,19800,11700,6300,90900,92700,160200,0,0,0,0,5400,0,0
37,GW-27,0,0,900,0,36000,0,2700,1800,7200,0,19800,1800,1800,0,0,1800,4500,457200,0,0,900,0,0,27900,0,0,96300,425700,178200,19800,0,0,0,0,900,225900,0,7200,0,0,900,0,0,0,0
38,GW-3,375300,1800,0,1800,0,0,0,0,7200,0,10800,1800,0,0,0,6300,19800,242100,0,0,0,0,0,230400,0,0,4500,100800,27900,5400,3600,15300,33300,64800,12600,272700,37800,57600,0,0,0,0,900,0,0
39,GW-4D,0,0,0,0,0,0,1800,0,5400,0,0,1800,0,0,0,0,0,459000,0,0,0,0,0,1800,0,0,18900,36000,0,0,1800,0,0,0,0,999900,0,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,0,0,1800,0,5400,0,0,1800,0,0,0,0,0,463500,0,0,0,0,0,1800,0,0,18900,36900,0,0,1800,0,0,0,0,997200,0,0,0,0,0,0,0,0,0
41,GW-5,3600,900,34200,5400,9900,0,0,3600,10800,0,0,0,0,0,12600,0,37800,403200,0,0,0,1800,0,359100,0,900,75600,54000,3600,0,0,1800,27000,4500,9000,295200,68400,96300,0,0,0,1800,2700,0,0
42,GW-6,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,127800,486000,0,0,0,0,0,134100,0,0,41400,63000,2700,0,0,0,0,0,0,668700,0,0,0,0,0,0,0,0,0
43,GW-7,0,0,0,2700,3600,0,0,64800,59400,5400,5400,900,0,0,0,0,33300,683100,2700,9000,0,2700,0,22500,0,7200,19800,106200,23400,900,6300,0,0,0,0,467100,0,1800,0,0,0,0,3600,0,0
44,GW-8,4500,69300,900,0,1800,0,900,0,4500,0,0,0,0,0,0,0,900,356400,1800,0,0,0,0,9900,0,126900,60300,254700,68400,2700,2700,0,1800,0,2700,540900,4500,12600,0,0,0,0,0,0,0
45,GW-8R,6300,99900,900,0,1800,0,900,0,1800,0,2700,0,0,0,0,0,900,344700,1800,0,0,0,0,11700,0,126900,58500,253800,56700,2700,2700,0,1800,0,2700,532800,4500,12600,0,0,0,0,0,0,0
