OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,RYE,OATS,CANOLA,MUSTARD,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,MISC_VEGS___FRUITS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,SQUASH,VETCH,DBL_CROP_WINWHT_CORN,BLUEBERRIES,CABBAGE,RADISHES
12,DW-17,0,0,0,0,382500,0,1800,0,0,0,0,0,2700,0,0,0,0,0,1035900,0,0,0,5400,0,3600,44100,3600,0,0,0,0,0,0,50400,0,0,0,0,0,0,0,0,0
13,DW-2,0,34200,0,0,0,1800,0,0,0,4500,84600,136800,10800,0,2700,0,9000,0,69300,30600,1800,6300,141300,18000,1800,62100,14400,0,5400,0,47700,9000,36900,658800,73800,36900,0,21600,0,0,0,0,5400
14,DW-3,0,0,900,67500,42300,0,13500,0,0,0,53100,1800,900,0,46800,0,4500,0,369900,115200,0,3600,274500,28800,32400,134100,22500,900,8100,0,1800,0,5400,272700,11700,5400,0,0,0,0,8100,1800,0
15,DW-5,0,0,0,0,5400,0,93600,0,0,0,1800,0,0,0,0,0,0,0,210600,900,0,0,26100,0,336600,592200,81000,900,1800,0,0,0,0,173700,0,0,0,0,0,0,0,0,0
16,DW-6,0,1800,0,0,0,0,0,0,0,8100,7200,86400,2700,0,3600,0,9000,226800,265500,25200,0,1800,82800,0,10800,48600,0,0,0,0,0,0,10800,319500,0,0,0,417600,0,0,1800,0,0
17,DW-7,1800,6300,900,0,1800,0,0,0,0,12600,16200,12600,0,0,0,0,104400,129600,207900,1800,0,6300,93600,92700,28800,12600,0,0,9900,6300,54900,27000,27900,343800,143100,13500,0,156600,0,16200,0,0,0
18,DW-7a,1800,12600,900,0,1800,0,0,0,0,12600,16200,12600,0,0,0,0,99900,128700,212400,1800,0,6300,95400,89100,31500,13500,0,0,9000,4500,52200,21600,26100,344700,130500,13500,0,171900,0,18000,0,0,0
19,DW-8,0,0,0,0,89100,0,15300,0,0,0,0,3600,14400,0,171900,0,60300,206100,568800,0,0,0,9000,0,2700,33300,0,0,0,0,0,0,1800,125100,0,0,2700,0,0,0,4500,0,224100
20,DW-9,0,0,0,0,394200,0,0,0,0,1800,0,0,0,0,28800,0,0,900,109800,0,0,0,2700,0,6300,107100,0,0,0,1800,0,0,5400,431100,447300,1800,0,0,0,0,900,0,0
21,GW-1,20700,264600,0,2700,6300,1800,1800,0,0,0,0,1800,15300,0,0,0,2700,0,537300,35100,0,0,69300,0,58500,145800,7200,0,900,0,2700,0,9000,327600,7200,900,0,0,0,0,2700,0,0
22,GW-10,0,0,0,0,90900,1800,0,0,0,0,0,0,0,0,0,0,0,336600,986400,0,0,0,0,0,5400,27000,0,0,0,0,0,0,0,81900,0,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610200,0,0,0,0,0,4500,90000,18000,0,900,0,0,0,0,812700,0,0,0,0,0,0,0,0,0
24,GW-12,75600,46800,0,0,13500,0,0,0,0,22500,0,0,0,0,0,0,0,0,234900,900,0,0,0,0,69300,39600,19800,2700,0,0,0,0,0,984600,0,27000,0,900,0,0,0,0,0
25,GW-13,0,0,0,0,1800,0,0,0,0,0,0,0,2700,0,0,0,0,12600,548100,900,0,0,0,13500,29700,110700,5400,0,1800,0,9000,900,9000,702000,81000,7200,0,0,0,0,0,0,0
26,GW-15,0,0,0,900,243900,0,0,0,1800,0,0,0,0,0,13500,0,183600,1800,481500,1800,0,0,3600,0,25200,60300,19800,0,900,0,18900,14400,900,270900,165600,1800,0,0,0,0,0,0,34200
27,GW-16,9900,32400,15300,0,0,0,1800,0,0,7200,35100,42300,0,0,0,0,95400,23400,484200,9000,0,2700,90000,62100,27900,54900,21600,3600,4500,4500,24300,31500,30600,191700,193500,0,0,28800,0,0,2700,0,900
28,GW-17,0,900,0,0,0,0,0,0,0,0,0,2700,900,0,0,0,1800,3600,202500,20700,1800,4500,384300,154800,11700,27000,0,0,8100,1800,27000,15300,55800,342000,127800,56700,0,80100,0,0,1800,0,0
29,GW-18,0,0,0,0,900,0,0,0,0,0,0,0,15300,0,0,0,3600,0,737100,17100,0,0,362700,0,15300,54900,42300,10800,0,0,8100,3600,6300,131400,59400,5400,0,52200,0,0,0,0,0
30,GW-19,0,0,12600,0,4500,0,0,0,0,0,246600,52200,1800,0,14400,0,13500,4500,972900,0,0,2700,3600,0,6300,73800,6300,900,0,0,3600,7200,3600,61200,32400,0,0,1800,0,0,0,0,0
31,GW-20,0,0,0,0,478800,0,1800,0,0,0,0,0,2700,0,0,0,0,0,944100,0,0,0,5400,0,3600,45000,3600,0,0,0,0,0,0,50400,0,0,0,0,0,0,0,0,0
32,GW-21,0,0,0,0,0,0,0,0,0,4500,0,0,0,0,0,0,10800,0,1276200,2700,0,0,39600,0,1800,97200,8100,0,0,0,0,0,0,26100,0,0,0,66600,0,0,0,0,0
33,GW-22,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,1800,2700,0,540000,9900,0,900,513900,0,4500,76500,13500,5400,0,0,18000,0,8100,239400,72000,15300,0,0,0,0,13500,0,0
34,GW-23,0,9000,0,19800,373500,13500,0,0,0,39600,0,76500,0,0,0,0,14400,12600,386100,13500,0,0,18900,0,21600,104400,7200,7200,2700,0,0,0,4500,360900,0,4500,0,39600,0,0,9900,0,0
35,GW-24,0,4500,0,0,41400,0,7200,1800,0,900,0,1800,9000,0,0,0,0,2700,868500,900,0,0,91800,0,28800,51300,9900,3600,0,0,4500,13500,14400,344700,33300,0,0,2700,2700,0,0,0,0
36,GW-25,0,0,0,0,163800,0,0,0,0,0,0,329400,0,0,1800,0,5400,1800,481500,3600,0,0,3600,0,35100,54900,9000,6300,900,3600,50400,28800,15300,116100,225900,1800,0,0,0,0,900,0,0
37,GW-27,0,27900,0,0,209700,1800,0,0,0,1800,0,5400,20700,0,0,0,20700,9000,219600,11700,0,0,36000,0,100800,439200,157500,21600,0,0,0,0,0,230400,1800,0,0,3600,0,0,0,0,0
38,GW-3,0,0,0,0,1800,0,0,0,0,1800,0,0,0,0,0,0,4500,303300,473400,9000,0,900,13500,0,48600,171000,28800,7200,0,6300,48600,76500,15300,196200,127800,0,0,0,0,0,0,0,0
39,GW-4D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,1254600,2700,0,0,1800,0,16200,36000,1800,1800,0,0,0,0,0,207900,0,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0,1247400,2700,0,0,1800,0,16200,37800,1800,1800,0,0,0,0,0,216000,0,0,0,0,0,0,0,0,0
41,GW-5,0,2700,1800,0,2700,0,24300,0,0,2700,9000,57600,1800,0,4500,0,21600,4500,401400,39600,0,0,236700,0,51300,52200,900,0,0,5400,32400,31500,20700,320400,135900,0,0,49500,0,0,4500,0,8100
42,GW-6,0,0,0,0,0,0,0,0,0,0,0,0,49500,0,0,0,0,0,1246500,52200,0,0,54000,0,59400,46800,0,0,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,0
43,GW-7,0,12600,0,0,70200,0,0,0,0,36000,0,1800,26100,900,0,4500,10800,235800,357300,84600,0,0,125100,0,31500,140400,24300,4500,3600,0,0,0,7200,315900,0,900,0,26100,900,0,10800,0,0
44,GW-8,24300,141300,0,0,0,0,0,0,0,0,0,0,5400,0,0,0,0,0,392400,1800,0,3600,8100,130500,155700,277200,63900,2700,0,0,6300,0,4500,307800,0,1800,0,0,0,0,1800,0,0
45,GW-8R,37800,187200,0,0,0,0,0,0,0,0,0,0,5400,0,0,0,0,0,338400,1800,0,3600,8100,130500,151200,271800,52200,2700,0,0,6300,0,4500,324000,0,1800,0,0,0,0,1800,0,0
