OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,PEAS,CANEBERRIES,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,GARLIC,GREENS,PLUMS,SQUASH,VETCH,BLUEBERRIES,RADISHES
11,DW-16,4500,3600,0,1800,0,0,3600,36000,0,0,128700,0,900,1800,0,5400,311400,2700,0,1800,3600,9900,22500,102600,45900,2700,0,1800,7200,3600,0,549900,118800,4500,0,0,0,172800,0,1800,0
12,DW-17,0,0,7200,0,410400,1800,0,0,0,0,0,15300,0,0,0,0,954000,0,0,0,4500,0,3600,42300,3600,0,0,0,0,0,0,70200,0,0,0,17100,0,0,0,0,0
13,DW-2,0,0,0,0,204300,0,0,11700,9900,0,0,0,0,0,9000,1800,142200,27900,0,2700,146700,18000,1800,52200,27000,0,27900,0,5400,3600,4500,718200,70200,23400,0,3600,0,10800,0,0,2700
14,DW-3,0,0,0,0,77400,0,0,0,108000,0,2700,0,0,0,1800,7200,583200,27000,0,3600,23400,18900,36000,127800,33300,0,8100,0,1800,0,0,427500,12600,15300,0,0,0,0,0,0,12600
15,DW-5,0,0,0,15300,34200,0,0,27000,0,0,1800,0,0,0,0,0,281700,34200,0,0,0,0,268200,543600,136800,5400,2700,0,0,0,0,173700,0,0,0,0,0,0,0,0,0
16,DW-6,0,0,0,0,152100,0,0,5400,5400,0,3600,0,0,0,0,323100,558900,6300,0,0,26100,0,10800,46800,0,0,0,0,0,0,0,359100,0,0,0,0,0,0,0,0,32400
17,DW-7,900,900,0,0,567000,1800,1800,13500,0,0,0,0,0,900,0,900,87300,1800,0,4500,20700,101700,28800,12600,0,0,16200,3600,22500,1800,18900,421200,180900,14400,0,0,2700,1800,0,0,0
18,DW-7a,900,900,0,0,576900,1800,1800,12600,0,0,0,0,0,900,0,900,96300,1800,0,4500,20700,98100,31500,13500,0,0,16200,3600,21600,1800,16200,428400,162900,10800,0,0,2700,1800,0,0,0
19,DW-8,0,0,0,53100,117900,22500,0,0,0,0,0,0,0,0,0,0,783900,0,0,0,0,900,4500,31500,0,0,0,0,0,0,0,518400,0,0,0,0,0,0,0,0,0
20,DW-9,0,0,0,0,900,0,0,0,0,0,0,0,0,8100,0,2700,180000,3600,0,0,12600,0,9900,103500,0,0,0,1800,0,0,2700,768600,445500,0,0,0,0,0,0,0,0
21,GW-1,17100,145800,0,0,9900,0,0,0,2700,900,0,0,0,0,6300,0,582300,32400,0,0,17100,0,61200,145800,9900,0,900,0,0,0,0,481500,7200,900,0,0,0,0,0,0,0
22,GW-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567900,0,0,0,0,0,8100,29700,0,0,0,0,0,0,0,924300,0,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,68400,0,0,0,0,0,0,87300,20700,0,0,0,0,0,0,1358100,0,0,0,0,0,0,0,0,0
24,GW-12,162000,14400,0,0,3600,900,13500,146700,0,0,0,0,2700,900,0,0,90000,4500,0,0,900,0,66600,35100,21600,5400,0,0,0,0,0,967500,1800,0,0,0,0,0,0,0,0
25,GW-13,0,0,0,0,0,0,0,0,0,0,0,0,32400,0,0,9900,140400,900,0,1800,23400,2700,28800,111600,5400,0,0,0,1800,0,5400,1070100,91800,7200,2700,0,0,0,0,0,0
26,GW-15,1800,0,0,0,21600,0,0,0,0,0,900,0,0,3600,0,18900,403200,0,0,3600,7200,0,24300,64800,17100,2700,1800,0,15300,900,0,784800,155700,2700,0,0,0,0,0,14400,0
27,GW-16,73800,0,5400,0,4500,900,0,1800,0,99900,0,0,2700,0,123300,16200,475200,3600,0,2700,8100,63900,18900,56700,25200,5400,20700,4500,7200,18900,11700,228600,216000,2700,0,30600,0,2700,0,0,0
28,GW-17,9900,3600,0,0,0,0,0,1800,0,0,0,0,0,0,2700,8100,497700,52200,26100,0,52200,150300,14400,24300,0,0,26100,0,15300,18000,22500,354600,162900,31500,0,0,0,59400,0,0,0
29,GW-18,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044000,7200,18900,0,57600,0,20700,42300,46800,18900,3600,0,0,900,7200,128700,75600,10800,0,0,0,39600,0,1800,0
30,GW-19,900,0,0,0,7200,0,0,0,0,0,0,0,9000,0,17100,7200,1283400,0,0,1800,0,0,5400,71100,8100,2700,0,0,0,0,2700,82800,23400,3600,0,0,0,0,0,0,0
31,GW-20,0,0,6300,0,513900,1800,0,0,0,0,0,13500,0,0,0,0,863100,0,0,0,4500,0,3600,43200,3600,0,0,0,0,0,0,67500,0,0,0,14400,0,0,0,0,0
32,GW-21,900,0,0,0,684900,0,0,0,900,0,0,0,0,0,0,6300,584100,3600,0,0,40500,0,1800,78300,15300,900,0,0,0,0,4500,111600,0,0,0,0,0,0,0,0,0
33,GW-22,0,0,0,0,2700,0,0,0,1800,0,0,0,19800,0,122400,5400,591300,9900,0,0,41400,0,6300,71100,17100,5400,0,0,0,0,0,547200,92700,0,1800,0,0,0,0,0,0
34,GW-23,73800,3600,11700,0,38700,0,0,1800,0,0,0,0,207000,12600,63900,36000,178200,9900,0,0,70200,0,32400,93600,6300,9000,7200,0,0,0,0,495900,3600,7200,1800,0,0,175500,0,0,0
35,GW-24,0,0,0,3600,275400,2700,0,12600,0,0,0,0,0,0,4500,0,463500,0,0,0,107100,0,21600,48600,15300,8100,0,0,0,0,0,530100,46800,0,0,0,0,0,0,0,0
36,GW-25,0,0,1800,0,64800,0,0,0,163800,0,0,0,0,0,0,20700,586800,4500,0,0,0,0,43200,49500,10800,10800,0,0,0,7200,1800,278100,295200,900,0,0,0,0,0,0,0
37,GW-27,27900,192600,0,0,5400,0,0,0,0,0,0,0,0,900,36900,0,37800,51300,0,0,8100,0,100800,424800,171000,22500,0,0,0,0,0,434700,0,1800,0,0,0,0,0,0,2700
38,GW-3,441000,2700,0,0,7200,0,0,1800,0,0,0,0,0,0,0,19800,300600,0,0,2700,4500,0,52200,160200,38700,7200,0,3600,20700,13500,11700,211500,230400,4500,0,0,0,0,0,0,0
39,GW-4D,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,260100,1800,0,0,0,0,14400,42300,1800,1800,0,0,0,0,0,1200600,0,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,263700,1800,0,0,0,0,14400,44100,1800,1800,0,0,0,0,0,1197900,0,0,0,0,0,0,0,0,0
41,GW-5,13500,1800,1800,0,226800,2700,0,17100,0,0,7200,0,2700,0,51300,33300,215100,20700,900,7200,18000,0,49500,54900,900,0,1800,2700,11700,6300,19800,368100,163800,0,0,1800,0,900,0,0,221400
42,GW-6,0,0,0,9000,70200,4500,0,0,0,0,1800,0,0,0,0,0,1247400,0,0,0,0,0,45000,63000,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0
43,GW-7,288900,0,0,0,0,0,0,50400,0,0,900,0,0,2700,0,244800,250200,38700,0,1800,2700,0,41400,120600,32400,2700,900,0,0,0,0,452700,0,0,0,0,0,0,0,0,0
44,GW-8,0,0,0,8100,34200,900,0,0,0,0,9900,0,0,0,69300,0,239400,8100,0,0,3600,121500,144000,273600,81000,2700,900,0,0,0,0,513900,9900,7200,0,0,0,0,0,0,900
45,GW-8R,0,0,0,5400,30600,900,0,0,0,0,9900,0,0,0,100800,0,232200,8100,0,0,3600,121500,139500,269100,68400,2700,900,0,0,0,0,517500,9900,7200,0,0,0,0,0,0,900
