OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,RYE,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,BUCKWHEAT,SUGARBEETS,DRY_BEANS,OTHER_CROPS,ONIONS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,PEACHES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,GREENS,PLUMS,SQUASH,VETCH,PUMPKINS,BLUEBERRIES,CAULIFLOWER,RADISHES,TURNIPS
11,DW-16,0,0,1800,0,0,36000,0,0,0,1800,0,0,0,109800,0,138600,4500,0,1800,540000,0,0,0,0,0,19800,15300,24300,83700,57600,11700,0,0,13500,2700,3600,379800,26100,67500,0,0,0,0,1800,2700,0,0,0,5400,0
12,DW-17,0,124200,0,9900,0,241200,0,3600,0,0,0,0,0,0,0,27900,0,1800,5400,792000,0,0,0,0,0,107100,0,11700,69300,12600,3600,0,0,0,0,0,96300,0,1800,0,0,14400,0,0,0,0,0,0,7200,0
13,DW-2,9900,10800,3600,0,1800,14400,0,0,0,6300,0,2700,0,900,0,0,0,900,8100,62100,1800,0,1800,900,2700,193500,99900,23400,49500,26100,1800,1800,900,12600,0,5400,755100,26100,66600,0,0,0,0,130500,0,0,0,0,3600,0
14,DW-3,7200,2700,0,0,0,162900,0,1800,1800,2700,0,900,900,49500,0,0,0,22500,900,322200,4500,0,0,0,2700,429300,34200,12600,93600,54900,7200,0,0,0,0,0,290700,5400,9900,0,0,0,0,3600,0,0,1800,0,1800,0
15,DW-5,0,0,0,0,0,0,0,0,0,900,0,20700,0,0,0,0,0,1800,0,272700,0,0,0,0,0,1800,0,154800,523800,329400,24300,0,0,0,0,0,194400,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DW-6,5400,0,0,0,0,123300,0,1800,0,15300,0,0,0,0,900,0,1800,0,15300,483300,0,0,0,0,0,328500,0,17100,74700,13500,3600,0,0,0,0,0,443700,0,1800,0,0,0,0,0,0,0,0,0,0,0
17,DW-7,900,2700,900,0,0,1800,900,0,7200,15300,0,0,0,1800,0,0,0,0,106200,101700,1800,0,0,2700,0,372600,125100,40500,19800,7200,1800,8100,1800,24300,3600,10800,484200,81000,100800,0,0,0,0,0,0,0,3600,0,0,0
18,DW-7a,900,2700,900,0,0,2700,900,0,7200,16200,0,0,0,1800,0,0,0,0,127800,100800,1800,0,0,2700,0,371700,118800,42300,20700,9000,1800,8100,1800,22500,3600,8100,485100,72000,93600,0,0,0,0,0,0,0,3600,0,0,0
19,DW-8,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,16200,657000,0,0,0,0,0,4500,0,70200,45900,10800,900,0,0,0,0,0,725400,0,0,0,0,0,0,0,0,0,0,0,0,0
20,DW-9,9900,0,0,0,0,0,0,5400,0,4500,0,0,0,8100,0,0,0,900,103500,194400,0,0,0,0,0,61200,0,13500,95400,14400,1800,0,0,3600,0,2700,608400,121500,287100,0,0,0,0,0,0,0,0,0,0,3600
21,GW-1,45000,0,0,0,3600,41400,0,0,0,5400,0,3600,0,3600,0,0,0,1800,7200,513000,0,0,0,0,0,88200,0,44100,185400,39600,900,0,0,0,2700,0,534600,0,0,0,0,0,0,1800,0,0,0,0,0,0
22,GW-10,0,0,0,0,0,144900,0,0,0,1800,0,0,0,0,0,0,0,0,4500,775800,0,0,0,0,0,0,0,54000,45900,3600,0,0,0,0,0,0,499500,0,0,0,0,0,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,281700,0,0,0,0,0,0,0,7200,82800,18900,3600,0,0,0,0,0,1141200,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GW-12,115200,21600,0,0,0,900,0,0,1800,18000,4500,1800,0,4500,0,0,2700,0,2700,217800,0,0,0,0,0,9900,0,54000,32400,15300,18900,0,0,0,0,0,1011600,0,0,0,0,0,0,0,1800,0,0,2700,0,0
25,GW-13,1800,0,0,0,0,1800,0,0,0,1800,0,0,0,0,0,0,0,0,0,324900,0,0,0,0,0,900,9900,9900,108900,27000,900,0,0,16200,0,0,975600,22500,31500,0,0,0,2700,0,0,0,0,0,0,0
26,GW-15,1800,0,0,0,0,1800,0,0,0,11700,0,0,0,0,0,0,0,0,9000,810000,0,0,0,0,0,27000,0,7200,66600,32400,4500,0,4500,16200,1800,3600,391500,36000,85500,0,0,0,0,0,0,0,2700,0,31500,0
27,GW-16,3600,108000,10800,0,2700,9000,0,2700,0,3600,0,0,0,0,0,0,0,2700,5400,603900,0,0,0,0,0,10800,75600,38700,74700,42300,7200,0,1800,19800,9000,8100,275400,100800,106200,0,0,0,0,0,0,0,0,0,9000,0
28,GW-17,1800,0,0,0,0,1800,0,9900,0,1800,0,0,0,0,0,0,1800,0,10800,89100,0,0,0,5400,0,441900,181800,27000,26100,3600,0,0,1800,46800,20700,3600,483300,72900,101700,0,0,0,0,0,0,0,0,0,0,0
29,GW-18,0,0,0,0,0,900,0,0,0,74700,0,0,0,2700,0,0,0,0,0,251100,0,0,0,900,0,380700,1800,33300,63000,49500,24300,0,1800,1800,0,0,572400,27000,40500,0,0,0,0,0,0,0,0,0,0,0
30,GW-19,0,0,0,0,0,112500,0,0,1800,900,0,0,0,0,0,0,0,0,9000,1164600,0,0,0,0,0,0,0,9900,75600,36000,2700,0,0,2700,0,0,89100,8100,13500,0,0,0,0,0,0,0,0,0,0,0
31,GW-20,0,83700,0,22500,0,242100,0,3600,0,0,0,0,1800,0,0,35100,0,1800,9900,808200,0,0,0,0,0,105300,0,11700,70200,12600,3600,0,0,0,0,0,98100,0,1800,0,0,9900,0,1800,0,0,0,0,11700,0
32,GW-21,0,0,0,0,0,67500,0,0,0,0,0,900,64800,0,0,4500,0,0,0,914400,0,0,0,0,0,44100,0,16200,96300,15300,1800,0,0,0,0,3600,163800,0,0,0,0,17100,0,0,92700,0,0,0,30600,0
33,GW-22,900,0,0,0,0,0,0,0,0,2700,0,0,0,0,0,0,2700,0,0,512100,0,0,0,1800,0,588600,0,1800,50400,24300,7200,900,0,0,0,2700,243000,37800,36900,0,0,0,0,900,0,0,21600,0,0,0
34,GW-23,36900,7200,0,900,7200,86400,0,0,0,36900,17100,4500,13500,23400,15300,0,9000,0,7200,515700,0,2700,0,900,0,8100,0,14400,110700,43200,9000,0,0,2700,0,0,556200,0,0,0,0,0,0,3600,4500,0,1800,0,900,0
35,GW-24,4500,0,0,0,1800,73800,0,0,0,4500,0,0,2700,0,2700,0,0,0,3600,687600,0,0,0,0,0,183600,4500,9000,46800,9900,11700,1800,900,0,1800,3600,419400,5400,16200,43200,0,0,0,0,0,0,900,0,0,0
36,GW-25,5400,10800,0,0,0,0,0,0,0,4500,0,0,25200,111600,0,0,0,1800,41400,686700,2700,0,0,0,0,9000,6300,57600,51300,23400,15300,0,1800,38700,6300,0,207900,116100,101700,0,0,0,0,12600,0,0,1800,0,0,0
37,GW-27,3600,2700,0,0,0,25200,0,0,0,3600,0,0,3600,1800,0,0,27900,2700,0,376200,0,0,0,0,0,39600,0,78300,392400,261900,36000,0,0,2700,0,0,258300,0,1800,0,900,0,0,0,0,0,0,0,0,0
38,GW-3,8100,0,0,0,0,8100,0,0,0,9000,0,0,0,1800,0,0,4500,0,93600,274500,11700,6300,0,0,2700,276300,0,6300,109800,38700,5400,3600,6300,14400,16200,27900,535500,27900,45900,0,0,0,0,0,0,0,0,0,0,0
39,GW-4D,0,0,0,0,0,1800,0,0,0,2700,0,0,0,0,0,0,0,0,0,141300,0,0,0,0,0,4500,0,27900,73800,0,6300,0,0,0,0,0,1266300,0,0,0,0,0,0,0,0,0,0,0,1800,0
40,GW-4S,0,0,0,0,0,1800,0,0,0,2700,0,0,0,0,0,0,0,0,0,139500,0,0,0,0,0,6300,0,28800,76500,0,6300,0,0,0,0,0,1264500,0,0,0,0,0,0,0,0,0,0,0,2700,0
41,GW-5,7200,36000,0,0,0,0,0,0,1800,6300,0,0,1800,9000,0,0,0,5400,4500,222300,0,0,0,1800,0,369900,900,80100,87300,14400,0,0,7200,24300,9900,6300,486900,75600,58500,0,0,0,0,0,0,2700,1800,0,1800,0
42,GW-6,0,0,0,0,12600,23400,0,0,0,0,0,0,0,0,0,0,0,7200,1800,529200,10800,0,0,900,0,57600,0,26100,70200,17100,0,0,0,0,0,0,772200,0,0,0,0,0,0,0,0,0,0,0,1800,0
43,GW-7,0,0,0,0,900,96300,0,0,0,46800,0,0,900,1800,0,0,0,0,1800,770400,0,0,0,0,0,15300,5400,17100,87300,61200,9000,4500,0,0,0,0,411300,0,1800,0,0,0,0,0,0,0,0,0,0,0
44,GW-8,0,0,900,0,16200,41400,0,0,0,4500,0,0,0,6300,0,0,0,0,0,190800,0,0,0,1800,0,14400,130500,35100,257400,114300,11700,2700,0,8100,0,1800,677700,1800,0,0,0,0,0,0,0,0,0,11700,0,0
45,GW-8R,0,0,900,0,24300,51300,0,0,0,4500,0,0,0,6300,0,0,0,0,0,196200,0,0,0,1800,0,15300,130500,35100,262800,96300,11700,2700,0,8100,0,1800,662400,1800,0,0,0,0,0,0,0,0,0,15300,0,0
