OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,SPRING_WHEAT,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,SUGARBEETS,DRY_BEANS,OTHER_CROPS,MISC_VEGS___FRUITS,ONIONS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,WALNUTS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,GARLIC,BROCCOLI,PEPPERS,SQUASH,BLUEBERRIES,CAULIFLOWER,RADISHES
20,DW-9,0,0,0,0,900,0,0,2700,0,0,0,0,0,0,0,0,397800,0,0,0,0,0,0,0,10800,99000,0,0,0,0,0,4500,0,577800,446400,0,0,0,0,0,0,0,0
21,GW-1,0,900,0,3600,95400,5400,0,2700,12600,0,2700,0,0,0,2700,0,524700,0,0,0,0,4500,0,0,65700,178200,6300,0,0,1800,3600,0,0,597600,13500,0,0,0,0,0,0,0,0
22,GW-10,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,1279800,0,0,0,0,0,0,0,21600,28800,0,0,0,0,0,0,0,198000,0,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245600,0,0,0,0,0,0,0,0,99900,20700,0,0,0,0,0,0,170100,0,0,0,0,0,0,0,0,0
24,GW-12,49500,7200,0,0,0,0,5400,9000,0,0,0,0,0,0,0,0,905400,3600,0,0,0,0,0,0,65700,36000,19800,2700,900,0,0,0,0,414900,0,0,0,9000,0,9000,0,0,0
25,GW-13,0,0,0,1800,339300,0,0,0,0,0,0,0,0,0,0,0,619200,0,0,0,0,0,0,0,28800,110700,9900,0,1800,0,3600,1800,0,326700,83700,9000,0,0,0,0,0,0,0
26,GW-15,0,0,0,0,1800,0,0,0,0,1800,0,0,0,0,0,0,1011600,1800,0,0,0,3600,0,0,27900,65700,19800,0,0,6300,4500,900,5400,207000,184500,900,0,0,0,0,1800,0,0
27,GW-16,0,0,163800,54900,9900,1800,1800,6300,88200,0,0,0,0,0,16200,8100,363600,0,0,0,2700,14400,0,45900,30600,62100,15300,2700,0,0,11700,16200,3600,350100,216900,6300,0,0,0,38700,0,0,0
28,GW-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677700,900,0,0,1800,7200,0,153900,27000,34200,0,0,24300,0,23400,9900,11700,415800,138600,7200,0,0,0,0,0,0,0
29,GW-18,0,40500,2700,0,9900,0,0,0,0,0,0,0,0,0,0,0,1144800,0,0,0,0,1800,0,0,28800,70200,14400,10800,0,0,3600,0,0,130500,68400,0,0,0,0,0,0,0,0
30,GW-19,0,0,0,13500,95400,0,0,900,0,0,0,0,0,0,0,541800,433800,1800,0,0,2700,900,0,0,9000,86400,4500,2700,0,0,900,2700,0,277200,52200,0,0,0,0,0,0,0,0
31,GW-20,0,0,0,2700,677700,0,0,0,0,2700,0,0,0,0,0,0,657000,0,900,0,0,1800,0,0,3600,36900,3600,0,0,0,0,0,0,148500,0,0,0,0,0,0,0,0,0
32,GW-21,0,63900,0,43200,492300,11700,0,0,0,0,0,23400,0,0,0,0,449100,3600,0,0,0,0,0,0,1800,81900,9000,0,0,0,0,0,0,130500,0,3600,900,0,0,218700,0,0,0
33,GW-22,5400,122400,0,0,0,0,0,1800,0,0,1800,0,0,0,0,175500,766800,8100,0,0,4500,0,0,0,4500,72900,9000,5400,0,0,5400,0,0,265500,84600,2700,0,0,0,0,0,0,0
34,GW-23,3600,55800,0,54000,89100,3600,0,9900,1800,6300,0,0,2700,6300,0,0,465300,0,0,0,5400,3600,0,0,31500,95400,9000,5400,0,0,0,0,0,658800,1800,0,0,0,0,0,1800,28800,0
35,GW-24,0,0,0,10800,380700,0,0,6300,0,0,0,0,0,0,0,0,608400,12600,0,0,6300,10800,0,0,35100,50400,9900,3600,0,0,900,0,0,360000,44100,0,0,0,0,0,0,0,0
36,GW-25,0,0,0,0,421200,0,0,0,0,0,0,0,0,0,0,3600,489600,2700,0,0,0,5400,0,0,69300,55800,7200,4500,0,0,18000,2700,6300,173700,279900,0,0,0,0,0,0,0,0
37,GW-27,3600,0,0,900,304200,8100,0,0,0,1800,0,0,0,0,3600,0,139500,1800,0,0,1800,900,0,0,100800,432900,162000,19800,0,0,0,0,0,335700,1800,0,0,0,0,0,0,0,0
38,GW-3,0,0,0,0,153000,0,0,1800,0,0,0,0,0,0,0,16200,746100,0,0,0,0,1800,0,0,51300,131400,29700,8100,0,900,36900,20700,2700,127800,206100,0,0,0,0,0,0,0,0
39,GW-4D,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,1268100,1800,0,0,0,0,0,0,21600,43200,1800,1800,0,0,0,0,0,187200,0,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,1262700,1800,0,0,0,0,0,0,21600,45000,1800,1800,0,0,0,0,0,193500,0,0,0,0,0,0,0,0,0
41,GW-5,1800,17100,0,1800,346500,5400,3600,1800,0,0,1800,0,0,0,1800,0,341100,0,0,0,0,10800,0,0,49500,53100,900,0,0,0,28800,34200,9900,415800,195300,0,0,0,0,2700,0,0,0
42,GW-6,0,0,0,0,180900,0,0,0,0,0,0,0,0,0,0,0,1160100,0,0,0,0,0,0,0,86400,63000,0,0,0,0,0,0,0,40500,0,0,0,0,0,0,0,0,0
43,GW-7,2700,9000,0,0,77400,0,0,9000,2700,46800,0,0,0,0,1800,3600,451800,900,0,0,0,4500,0,0,43200,125100,27900,900,0,0,0,0,0,720000,0,900,0,0,0,3600,0,0,0
44,GW-8,0,0,0,0,1800,0,0,1800,0,0,0,0,0,0,0,0,525600,9000,0,0,0,0,0,109800,140400,268200,70200,2700,12600,0,0,900,0,373500,5400,7200,0,0,0,0,0,0,0
45,GW-8R,0,0,0,0,1800,0,0,1800,0,0,0,0,0,0,0,0,531900,9000,0,0,0,0,0,109800,138600,263700,56700,2700,12600,0,0,900,0,387000,5400,7200,0,0,0,0,0,0,0
