OBJECTID,LOCATION,CORN,SWEET_CORN,MINT,BARLEY,SPRING_WHEAT,WINTER_WHEAT,OATS,CANOLA,ALFALFA,OTHER_HAY_NON_ALFALFA,BUCKWHEAT,SUGARBEETS,DRY_BEANS,OTHER_CROPS,ONIONS,CUCUMBERS,PEAS,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,PEACHES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,GREENS,PLUMS,STRAWBERRIES,SQUASH,VETCH,BLUEBERRIES,CABBAGE,CAULIFLOWER,RADISHES,TURNIPS
11,DW-16,0,0,1800,0,0,32400,3600,0,0,8100,0,0,0,1800,0,0,72000,3600,0,10800,717300,0,0,0,0,0,17100,15300,27900,79200,56700,9900,0,2700,9000,2700,0,407700,20700,47700,0,0,0,0,0,0,0,0,0,0,0,0
12,DW-17,29700,91800,3600,0,7200,12600,13500,1800,0,7200,0,48600,434700,7200,11700,0,79200,0,0,26100,428400,4500,0,0,0,0,103500,0,7200,63900,16200,3600,0,0,1800,0,0,105300,0,0,0,0,4500,0,0,2700,0,0,1800,0,17100,0
13,DW-2,0,0,0,0,0,111600,0,0,0,9000,0,1800,0,0,0,0,0,0,0,11700,149400,1800,0,900,0,0,136800,108900,24300,44100,28800,1800,4500,3600,5400,2700,4500,791100,27900,40500,3600,0,900,0,0,2700,0,1800,0,2700,0,0
14,DW-3,1800,0,0,0,0,185400,0,0,0,32400,0,18900,0,0,0,0,0,0,19800,6300,218700,0,0,0,0,0,410400,32400,17100,99900,47700,8100,1800,0,900,0,1800,394200,2700,14400,0,0,0,0,0,0,0,0,0,0,12600,0
15,DW-5,0,0,0,0,3600,3600,4500,0,0,0,0,0,0,0,0,0,0,0,900,23400,146700,0,0,0,900,0,7200,0,193500,534600,326700,24300,0,0,0,0,0,227700,0,0,0,0,0,0,0,28800,0,0,0,0,0,0
16,DW-6,4500,0,0,0,0,195300,4500,0,0,14400,0,39600,0,9900,0,0,0,2700,900,81000,207000,2700,0,0,1800,0,309600,0,18000,77400,10800,5400,900,0,1800,0,0,463500,900,0,0,62100,0,0,0,8100,0,0,0,0,0,0
17,DW-7,0,35100,0,0,0,1800,0,0,0,4500,0,2700,0,0,0,0,0,0,2700,64800,110700,0,0,0,8100,0,370800,135000,33300,26100,9000,1800,9900,6300,22500,0,5400,495900,71100,104400,0,0,1800,0,0,1800,0,900,0,0,0,0
18,DW-7a,0,43200,0,0,0,1800,0,0,0,6300,0,2700,0,0,0,0,0,0,900,77400,109800,0,0,0,8100,0,371700,129600,34200,29700,9900,1800,9900,6300,19800,0,4500,497700,61200,95400,0,0,900,0,0,1800,0,900,0,0,0,0
19,DW-8,0,0,0,0,0,329400,16200,0,0,1800,0,1800,0,0,0,0,0,0,0,4500,486000,1800,0,0,0,0,0,0,72000,45900,15300,1800,0,0,0,0,0,556200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,DW-9,0,0,0,0,0,3600,0,0,0,2700,0,0,0,0,0,0,0,0,0,43200,608400,0,0,0,0,0,0,2700,13500,98100,14400,1800,0,0,13500,3600,1800,348300,74700,305100,0,0,0,0,0,0,1800,0,0,0,0,0
21,GW-1,7200,10800,0,0,0,102600,13500,0,0,6300,0,2700,7200,24300,0,0,0,0,0,2700,446400,0,0,0,0,0,18000,0,46800,171900,34200,1800,0,0,900,1800,0,615600,0,0,3600,0,0,0,0,0,0,0,0,0,900,0
22,GW-10,0,0,0,0,0,109800,0,0,0,9900,0,0,0,0,0,0,0,0,0,0,637200,0,0,0,0,0,0,0,37800,46800,3600,0,0,0,0,0,0,681300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,243000,0,0,0,0,0,0,0,8100,81000,22500,9900,0,0,0,0,0,1165500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GW-12,39600,120600,0,0,0,0,0,0,0,56700,1800,0,8100,0,0,1800,0,0,0,4500,262800,2700,0,0,0,0,22500,0,47700,31500,18000,17100,0,0,0,0,0,891900,0,0,0,0,0,0,0,1800,0,0,0,2700,2700,3600
25,GW-13,900,0,0,0,0,900,0,0,2700,1800,0,0,0,0,0,0,0,0,0,0,662400,0,900,0,0,0,0,10800,12600,99000,28800,1800,0,0,8100,0,2700,633600,36900,32400,0,0,0,0,0,0,0,0,0,0,0,0
26,GW-15,1800,0,0,0,0,14400,0,0,1800,24300,0,0,0,0,0,0,0,0,0,1800,906300,0,0,0,0,0,5400,0,3600,60300,35100,2700,0,0,4500,2700,2700,364500,71100,40500,0,0,0,0,0,0,0,0,0,0,0,0
27,GW-16,0,0,0,0,0,21600,3600,0,0,39600,0,6300,18900,3600,0,0,0,0,3600,9900,703800,0,4500,0,0,0,2700,81900,38700,72900,33300,8100,0,900,21600,9000,9900,236700,72000,119700,0,0,0,0,0,0,0,0,2700,0,0,0
28,GW-17,0,0,1800,0,0,0,0,0,0,5400,0,0,3600,0,0,0,0,0,0,19800,45900,2700,0,0,1800,0,468000,189000,20700,27000,2700,0,1800,0,51300,16200,4500,501300,79200,72000,0,0,0,0,0,16200,0,0,0,0,0,0
29,GW-18,0,0,0,0,0,0,0,0,0,54000,0,0,0,900,1800,0,2700,0,0,47700,74700,2700,3600,0,1800,0,438300,2700,28800,75600,44100,24300,0,0,5400,0,1800,559800,22500,45000,0,0,0,0,0,95400,0,0,0,0,0,0
30,GW-19,0,0,0,0,0,578700,0,0,1800,7200,0,0,0,0,0,0,0,0,0,1800,735300,0,0,0,0,0,0,0,10800,58500,35100,3600,0,0,0,0,0,81900,14400,8100,0,0,0,0,0,0,0,0,0,0,0,0
31,GW-20,27000,50400,3600,0,6300,12600,15300,1800,0,7200,0,53100,383400,7200,7200,2700,82800,0,0,27900,509400,2700,0,0,0,0,107100,0,7200,66600,16200,3600,0,0,1800,0,0,108000,0,0,0,0,3600,0,0,2700,0,0,0,0,17100,0
32,GW-21,5400,0,0,0,4500,63900,0,0,0,13500,0,0,442800,13500,0,0,0,0,0,17100,638100,8100,0,0,0,0,90000,0,13500,102600,13500,1800,0,0,0,0,900,71100,0,0,0,1800,0,0,0,32400,0,0,0,0,0,0
33,GW-22,0,0,0,0,0,1800,0,0,21600,3600,0,0,8100,0,0,0,0,3600,0,1800,495000,2700,0,0,0,0,577800,0,1800,59400,17100,7200,900,0,0,0,0,248400,18000,57600,0,0,0,0,0,0,0,10800,0,0,0,0
34,GW-23,51300,0,0,8100,2700,105300,900,3600,1800,27000,1800,0,46800,0,3600,0,0,7200,9000,14400,477900,7200,2700,0,1800,0,47700,0,14400,102600,53100,9000,0,0,900,0,0,531000,0,1800,0,0,0,0,0,0,0,0,0,0,0,5400
35,GW-24,13500,0,141300,0,900,299700,16200,0,2700,20700,0,3600,2700,0,0,0,0,0,0,108000,171900,8100,0,0,0,0,186300,1800,5400,52200,12600,10800,4500,4500,0,0,1800,450000,1800,11700,0,900,0,0,0,0,0,0,0,0,0,0
36,GW-25,5400,0,1800,0,0,6300,3600,0,0,9000,0,0,54000,0,0,0,0,0,900,7200,843300,0,1800,0,900,0,4500,1800,60300,48600,18000,17100,0,3600,19800,16200,9900,204300,117000,82800,0,0,0,0,0,0,0,0,0,0,0,0
37,GW-27,6300,113400,3600,0,0,100800,0,0,0,5400,0,6300,68400,15300,0,0,6300,18000,1800,5400,90900,0,900,0,0,0,4500,0,80100,392400,259200,36000,0,0,0,0,0,280800,0,1800,0,0,900,0,0,0,0,0,0,0,23400,0
38,GW-3,9000,0,0,0,0,2700,0,0,0,9900,0,0,0,0,0,0,0,4500,0,4500,424800,0,5400,0,0,0,237600,0,6300,114300,42300,5400,0,1800,28800,13500,9900,533700,32400,38700,0,0,0,0,0,3600,0,0,0,0,0,0
39,GW-4D,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,84600,0,2700,0,0,0,900,0,36900,63900,900,5400,0,0,0,0,0,1323900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,GW-4S,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,87300,0,2700,0,0,0,900,0,36900,65700,900,5400,0,0,0,0,0,1325700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,GW-5,5400,0,2700,0,0,3600,900,0,2700,48600,0,0,27000,1800,0,0,0,1800,0,6300,267300,1800,0,0,1800,900,364500,900,89100,81900,12600,0,0,0,20700,9900,17100,403200,78300,70200,0,0,0,0,2700,1800,0,0,0,0,0,0
42,GW-6,0,0,0,0,0,88200,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,619200,0,0,0,0,0,0,0,24300,67500,17100,0,0,0,0,0,0,703800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,GW-7,99900,0,0,5400,9900,41400,1800,0,0,35100,0,3600,9900,2700,0,0,0,900,0,162900,516600,0,0,0,0,0,14400,900,21600,78300,63900,13500,1800,0,0,0,0,405000,0,1800,0,2700,0,2700,0,27000,0,0,0,0,0,0
44,GW-8,0,0,1800,0,0,2700,0,0,0,52200,0,900,0,0,0,0,0,0,0,5400,198000,0,0,0,1800,0,6300,124200,36900,244800,118800,9900,900,0,900,0,1800,712800,0,3600,0,0,0,0,0,0,0,0,0,0,0,0
45,GW-8R,0,0,1800,0,0,2700,0,0,0,51300,0,900,0,0,0,0,0,0,0,6300,212400,0,0,0,1800,0,3600,124200,35100,255600,103500,9900,900,0,900,0,1800,709200,0,3600,0,0,0,0,0,0,0,0,0,0,0,0
