OBJECTID,LOCATION,CORN,MINT,BARLEY,WINTER_WHEAT,OATS,ALFALFA,OTHER_HAY_NON_ALFALFA,BUCKWHEAT,SUGARBEETS,DRY_BEANS,OTHER_CROPS,ONIONS,PEAS,CANEBERRIES,HOPS,HERBS,CLOVER_WILDFLOWERS,SOD_GRASS_SEED,FALLOW_IDLE_CROPLAND,CHERRIES,GRAPES,CHRISTMAS_TREES,OTHER_TREE_CROPS,OPEN_WATER,DEVELOPED_OPEN_SPACE,DEVELOPED_LOW_INTENSITY,DEVELOPED_MED_INTENSITY,DEVELOPED_HIGH_INTENSITY,BARREN,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUBLAND,GRASSLAND_PASTURE,WOODY_WETLANDS,HERBACEOUS_WETLANDS,TRITICALE,GARLIC,BROCCOLI,GREENS,SQUASH,PUMPKINS,BLUEBERRIES,RADISHES,TURNIPS
15,DW-5,0,0,0,0,0,0,5400,0,2700,0,0,0,0,1800,0,0,0,330300,5400,0,0,0,19800,0,279000,595800,120600,4500,0,0,0,0,1800,153900,0,0,0,0,0,0,0,0,0,1800,1800
16,DW-6,78300,0,0,0,0,0,15300,0,7200,5400,1800,0,0,0,0,16200,18900,844200,5400,0,4500,0,100800,0,10800,48600,0,0,1800,0,0,0,900,320400,0,2700,0,0,0,34200,0,0,9900,2700,0
17,DW-7,0,900,0,0,0,18000,5400,0,3600,0,0,0,0,0,0,16200,161100,265500,1800,3600,0,0,227700,87300,26100,15300,0,0,63900,0,44100,8100,16200,227700,189900,95400,0,0,0,2700,1800,6300,38700,1800,0
18,DW-7a,0,900,0,0,0,19800,5400,0,3600,0,0,0,0,0,0,21600,177300,262800,1800,4500,0,0,227700,84600,29700,15300,0,0,61200,0,37800,7200,17100,229500,174600,91800,0,0,0,6300,1800,6300,38700,1800,0
19,DW-8,0,0,0,323100,1800,0,2700,0,900,0,1800,0,0,0,0,2700,86400,612900,0,0,0,0,230400,0,4500,31500,0,0,0,0,0,0,0,119700,0,0,2700,2700,0,0,0,0,0,108900,0
20,DW-9,0,0,0,5400,0,0,3600,0,0,0,0,0,0,0,0,900,172800,196200,0,0,0,2700,28800,0,11700,101700,0,0,900,0,1800,0,2700,556200,450000,3600,0,900,0,0,0,0,0,0,0
21,GW-1,221400,0,0,0,0,0,11700,0,0,0,0,0,0,1800,0,0,2700,613800,0,0,0,0,110700,3600,62100,140400,7200,0,7200,0,1800,2700,6300,313200,6300,6300,0,0,0,0,0,0,0,2700,0
22,GW-10,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,178200,1219500,0,0,0,0,3600,0,5400,27000,0,0,0,0,0,0,0,92700,0,0,1800,0,0,0,0,0,0,0,0
23,GW-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,715500,0,0,0,0,0,0,0,91800,20700,0,0,0,0,0,0,705600,0,900,0,0,0,0,0,0,0,0,0
24,GW-12,66600,0,0,0,1800,1800,23400,0,4500,1800,0,0,0,1800,0,0,1800,306900,16200,0,0,0,40500,0,65700,41400,15300,7200,0,0,0,0,0,927900,900,0,0,0,0,0,11700,0,900,0,0
25,GW-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,571500,0,0,0,2700,0,13500,28800,109800,7200,0,2700,0,1800,1800,11700,684000,85500,14400,0,0,0,0,0,0,0,0,0
26,GW-15,0,0,0,220500,0,0,28800,0,0,0,0,0,0,0,0,900,0,738000,0,0,0,0,2700,0,20700,66600,18000,0,0,1800,10800,0,14400,242100,171000,9000,0,0,0,0,0,0,0,0,0
27,GW-16,51300,0,0,0,0,1800,1800,0,0,8100,900,5400,0,0,2700,99000,4500,450000,1800,0,9000,0,20700,47700,19800,63000,11700,14400,5400,2700,13500,1800,16200,176400,238500,48600,0,0,0,1800,168300,38700,0,6300,0
28,GW-17,0,0,0,0,0,900,2700,0,1800,0,0,0,0,0,0,0,56700,117900,900,900,0,1800,494100,154800,15300,23400,0,0,19800,0,29700,15300,51300,352800,126900,41400,0,0,0,0,0,0,25200,0,0
29,GW-18,8100,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,28800,747000,0,0,0,0,400500,0,18900,51300,39600,13500,1800,0,4500,0,0,136800,69300,1800,0,0,0,0,0,0,2700,0,0
30,GW-19,0,0,0,0,0,0,1800,0,207900,1800,0,0,0,0,0,24300,6300,719100,1800,0,0,0,900,0,5400,74700,6300,900,0,0,0,1800,2700,59400,45000,1800,0,0,0,7200,45000,302400,0,9900,0
31,GW-20,2700,0,0,88200,0,0,1800,0,0,0,0,0,0,0,0,0,8100,804600,0,0,0,0,33300,0,3600,45000,900,2700,0,0,0,0,0,48600,0,0,0,0,0,900,494100,0,0,900,0
32,GW-21,1800,0,0,3600,0,0,900,0,900,0,0,0,0,0,0,0,2700,1105200,0,0,0,0,88200,0,1800,96300,9000,0,1800,0,0,0,0,22500,0,0,0,900,0,0,188100,6300,0,3600,0
33,GW-22,0,0,0,2700,0,0,1800,0,900,0,0,0,0,0,0,0,7200,512100,0,0,2700,1800,589500,0,6300,65700,13500,5400,0,1800,0,0,11700,196200,76500,6300,0,0,0,0,0,0,34200,0,0
34,GW-23,404100,0,0,0,900,0,0,0,0,10800,0,0,0,0,16200,1800,55800,297900,10800,0,0,4500,32400,2700,19800,104400,9000,7200,11700,0,0,0,0,386100,0,0,0,0,0,1800,92700,2700,63900,2700,0
35,GW-24,0,0,0,7200,7200,900,1800,0,1800,2700,2700,0,5400,0,0,900,294300,561600,900,0,0,0,124200,1800,25200,54900,8100,5400,0,0,1800,0,4500,370800,47700,1800,0,1800,3600,0,0,0,900,0,0
36,GW-25,4500,900,0,0,2700,0,2700,0,412200,74700,0,0,0,0,1800,900,0,461700,0,0,0,1800,9900,900,35100,54900,9000,6300,0,4500,25200,13500,9900,107100,256500,8100,0,0,2700,27900,0,0,4500,0,0
37,GW-27,0,0,0,306900,0,0,1800,0,3600,0,900,0,0,0,0,1800,1800,124200,2700,0,0,0,67500,0,97200,439200,162900,19800,0,0,0,0,900,254700,1800,5400,12600,0,0,4500,0,0,0,9000,0
38,GW-3,67500,0,0,0,0,0,0,0,1800,4500,0,0,0,0,0,0,304200,350100,0,0,0,0,91800,1800,53100,163800,32400,9000,0,0,38700,11700,4500,177300,215100,1800,0,0,0,900,1800,2700,0,0,0
39,GW-4D,0,0,0,0,0,0,12600,0,1800,0,0,0,0,0,0,0,2700,1233900,3600,0,0,0,4500,0,14400,37800,1800,1800,0,0,0,0,0,209700,0,0,0,0,0,0,0,0,0,1800,0
40,GW-4S,0,0,0,0,0,0,12600,0,1800,0,0,0,0,0,0,0,2700,1224900,3600,0,0,0,6300,0,14400,39600,1800,1800,0,0,0,0,0,217800,0,0,0,0,0,0,0,0,0,1800,0
41,GW-5,4500,0,0,7200,0,0,13500,0,3600,0,27900,0,0,0,0,0,1800,433800,3600,0,1800,1800,346500,0,51300,52200,900,0,2700,1800,29700,5400,17100,306000,168300,9900,1800,0,0,0,0,1800,5400,23400,0
42,GW-6,0,0,0,0,0,0,7200,0,0,35100,0,4500,0,0,0,0,3600,990000,7200,0,0,0,339300,0,39600,62100,1800,0,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,0,18000,0
43,GW-7,8100,0,0,0,0,36900,48600,0,0,2700,8100,0,0,0,0,0,31500,702000,4500,0,0,2700,39600,1800,41400,128700,25200,900,1800,0,0,0,0,305100,0,1800,0,0,0,8100,4500,0,126000,1800,0
44,GW-8,165600,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,3600,397800,0,0,0,1800,7200,119700,135000,291600,70200,2700,2700,0,0,0,8100,298800,2700,14400,0,0,0,0,0,0,0,0,0
45,GW-8R,225000,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,3600,343800,0,0,0,1800,7200,119700,130500,286200,58500,2700,2700,0,0,0,8100,315000,2700,14400,0,0,0,0,0,0,0,0,0
